name;lat;lon;id;gtfsid;gtfsname;gtfslat;gtfslon
ABB Verkö;56.16704507799;15.633753364184;1086;7431844;ABB Verkö;56.166659417864;15.634141658087
ABU Svängsta;56.266006501649;14.768411988256;3028;7432465;ABU;56.265980278255;14.768493524404
ABU-muséet Svängsta;56.265330337838;14.768107510474;3183;7432592;ABU-muséet;56.265349011768;14.768187829478
Afvelsgärdevägen Lyckeby;56.206980945821;15.659388174186;1052;7431811;Afvelsgärdevägen;56.207016898258;15.659420513981
Agerum;56.154755363518;14.638920389878;4107;7432691;Agerum;56.154889781487;14.638884213543
Agerum Södra;56.146921618622;14.641603522044;4108;7432692;Agerum södra;56.146922560725;14.641700116468
Agrasjö Olofström;56.264863599857;14.550967333043;6020;7432785;Agrasjö;56.264620442783;14.553557689093
Alamedan Karlskrona;56.15900838344;15.589049225939;1058;7431817;Alamedan;56.15904440567;15.589113631313
Alfargatan;56.412172754436;16.00092619092;8090;7451719;Allfargatan;56.412342099696;16.001753584049
Alholmen;56.155896739841;14.675707644208;4066;7432657;Alholmen;56.155860853754;14.675708789588
Allarp Leingarydsvägen;56.131551870937;14.522664487211;5070;7414614;Allarp Leingarydsvägen;56.131551910665;14.522664549286
Allatorp;56.220603093196;15.590586924738;1430;7410009;Allatorp;56.220567079311;15.590539009106
Allatorp norra;56.229712003093;15.581716352026;1482;7432145;Allatorp norra;56.229712115747;15.581781083968
Allévägen;56.216412265523;15.597750568949;1431;7432109;Allévägen;56.216448291169;15.597815084944
Alljungen vsk;56.378022733035;15.562910846544;1341;7432040;Alljungen vsk;56.378040773177;15.562943353709
Allsjömåla;56.318377041748;15.738470583432;1322;7432026;Allsjömåla;56.318359101564;15.738503206322
Almöbron;56.166338686203;15.459815837974;2087;7432267;Almöbron;56.166383581046;15.459815647635
Almvägen Kallinge;56.23675117663;15.296530612165;2027;7432215;Almvägen;56.236768878707;15.296466068949
Alnaryd;56.341105227444;15.430841243969;1384;7410013;Alnaryd;56.341069515781;15.430906504886
Alvesta station;56.899022949518;14.557130989738;7067;7400004;Alvesta station;56.898776091892;14.557582590554
ABB Verkö;56.16704507799;15.633753364184;1086;7431844;ABB Verkö;56.166659417864;15.634141658087
ABU Svängsta;56.266006501649;14.768411988256;3028;7432465;ABU;56.265980278255;14.768493524404
ABU-muséet Svängsta;56.265330337838;14.768107510474;3183;7432592;ABU-muséet;56.265349011768;14.768187829478
Afvelsgärdevägen Lyckeby;56.206980945821;15.659388174186;1052;7431811;Afvelsgärdevägen;56.207016898258;15.659420513981
Agerum;56.154755363518;14.638920389878;4107;7432691;Agerum;56.154889781487;14.638884213543
Agerum Södra;56.146921618622;14.641603522044;4108;7432692;Agerum södra;56.146922560725;14.641700116468
Agrasjö Olofström;56.264863599857;14.550967333043;6020;7432785;Agrasjö;56.264620442783;14.553557689093
Alamedan Karlskrona;56.15900838344;15.589049225939;1058;7431817;Alamedan;56.15904440567;15.589113631313
Alfargatan;56.412172754436;16.00092619092;8090;7451719;Allfargatan;56.412342099696;16.001753584049
Alholmen;56.155896739841;14.675707644208;4066;7432657;Alholmen;56.155860853754;14.675708789588
Allarp Leingarydsvägen;56.131551870937;14.522664487211;5070;7414614;Allarp Leingarydsvägen;56.131551910665;14.522664549286
Allatorp;56.220603093196;15.590586924738;1430;7410009;Allatorp;56.220567079311;15.590539009106
Allatorp norra;56.229712003093;15.581716352026;1482;7432145;Allatorp norra;56.229712115747;15.581781083968
Allévägen;56.216412265523;15.597750568949;1431;7432109;Allévägen;56.216448291169;15.597815084944
Alljungen vsk;56.378022733035;15.562910846544;1341;7432040;Alljungen vsk;56.378040773177;15.562943353709
Allsjömåla;56.318377041748;15.738470583432;1322;7432026;Allsjömåla;56.318359101564;15.738503206322
Almöbron;56.166338686203;15.459815837974;2087;7432267;Almöbron;56.166383581046;15.459815647635
Almvägen Kallinge;56.23675117663;15.296530612165;2027;7432215;Almvägen;56.236768878707;15.296466068949
Alnaryd;56.341105227444;15.430841243969;1384;7410013;Alnaryd;56.341069515781;15.430906504886
Alvesta station;56.899022949518;14.557130989738;7067;7400004;Alvesta station;56.898776091892;14.557582590554
Amiralen Lyckeby;56.197316766252;15.64450761418;1041;7431800;Amiralen;56.197298751421;15.644475717498
Anderslund;56.415014675876;14.660062434097;7062;7436539;Anderslund;56.415553171578;14.660013984299
Angöringen Karlskrona;56.207329467992;15.643643657665;1133;7431886;Angöringen;56.207356380439;15.643627677356
Aniara Olofström;56.277869976954;14.526485294552;6002;7432771;Aniara;56.27790594854;14.526484194532
Ankaret Karlskrona;56.196428932832;15.61403267048;1064;7431823;Ankaret;56.196446884715;15.614032822447
Annebergsvägen Torhamn;56.128036604439;15.885235936191;1203;7431943;Annebergsvägen;56.128045600234;15.885171914453
Annebo Karlskrona;56.185942671135;15.605001959701;1037;7431796;Annebo;56.185924802693;15.605066711964
Aplakärr;56.190800215672;14.927863791596;3150;7432567;Aplakärr;56.190782503675;14.927896546984
Appleryd Tombäcksv;56.310092759068;15.985946222201;1268;7434667;Appleryd Tombäcksv.;56.310074890304;15.985881815886
Arkelstorpsvägen;56.352664278972;14.485739594893;6074;7432833;Arkelstorpsvägen;56.352656057474;14.48580470116
Asarums kyrka;56.20512447709;14.834077161742;3013;7410042;Asarum kyrka;56.205258186351;14.833944993376
Askaremåla;56.326810937251;14.887886846147;3189;7432598;Askaremåla;56.326829174284;14.8879188946
Askaremåla Hallabro;56.383683449219;15.074697437105;2140;7432309;Askaremåla;56.383665332575;15.074665596529
Askvägen;56.387071159319;15.106138386054;2138;7432307;Askvägen;56.387080355379;15.106170791281
Aspöfärjan Karlskrona;56.16308159513;15.597025597642;1456;7432125;Karlskrona Aspöfärjan;56.16308155337;15.597009738493
Aspvägen Bräkne Hoby;56.223645747507;15.111603650968;2208;7432367;Aspvägen;56.223654560164;15.111571417679
Attanäs;56.1706502325;15.930849696614;1208;7431948;Attanäs;56.170668206655;15.930817850038
Augerums kyrka;56.217059189016;15.676869768175;1278;7431996;Augerums kyrka;56.217184998058;15.676950187442
Avundstorp;56.327754503562;14.853464423198;3099;7432523;Avundstorp;56.327736584652;14.853465022096
Axeltorp;56.144671247431;14.521487129923;56087;7414612;Bromölla Axeltorp;56.144652662366;14.52142346031
Backabo Karlskrona;56.203016490977;15.629048328438;1029;7431791;Backabo;56.203025370085;15.628984084191
Backaryd;56.347766723838;15.153211453787;2127;7401015;Backaryd;56.347730488819;15.153147573269
Backarydsskolan Backaryd;56.341826617991;15.157646715989;2126;7432298;Backarydsskolan;56.341826474519;15.157614570089
Bäckasjögärde Backaryd;56.333520451011;15.171772328371;2125;7432297;Bäckasjögärde;56.333547664279;15.171820572655
Bäckasjön Backaryd;56.32437971949;15.173912054428;2124;7432296;Bäckasjön;56.324397703046;15.173911949959
Baggemåla Månaskensvägen;56.323428663787;14.656924656294;6109;7432864;Baggemåla;56.323464032623;14.656859065777
Bakareboda;56.406135491785;15.546663311486;1347;7432046;Bakareboda;56.406117685094;15.546728474603
Baldersvägen Karlshamn;56.181688994723;14.852174607674;3009;7432452;Baldersvägen;56.181688396071;14.852094225814
Bangatan Olofström;56.273039239178;14.522288025847;6005;7422083;Olofström Bangatan;56.273012360009;14.522289026134
Båtslyckevägen;56.351228344515;14.584818306156;6053;7432816;Båtslyckevägen;56.351246681059;14.584850197664
Belganet;56.388554026815;15.030824249651;2144;7432313;Belganet;56.388518346664;15.030857541289
Bellevueparken;56.176797933398;14.849188272899;3910;7435419;Bellevueparken;56.176815665857;14.849155749256
Benabacken Nättraby;56.201276410175;15.531889164731;1418;7432098;Benabacken;56.20114158246;15.531842022685
Bengtsavägen Lyckeby;56.188915405781;15.663032746162;1078;7431836;Bengtsavägen;56.188788723938;15.662228165553
Bengtsaviken Lyckeby;56.187290571361;15.656081265715;1079;7431837;Bengtsaviken;56.187254673987;15.656113864431
