name;lat;lon;id;gtfsid;gtfsname;gtfslat;gtfslon
ABB Ludvika rv 50;60.143950862057;15.179105746649;585268;7412954;Ludvika ABB väg 50;60.14398649596;15.179105332206
Abborns;60.707396499724;15.783058098931;580118;7447935;Abborns;60.707396170028;15.783131439554
Albacken;60.691023970547;13.711405852537;523212;7448748;Albacken;60.691023833975;13.711424618293
Alderbäcken;60.447391390396;15.422066474792;581109;7425268;Alderbäcken;60.447382366038;15.422157600365
Algatan Älvbro;60.160568689995;16.140372070324;584207;7446274;Algatan Älvbro;60.160577245048;16.140444300516
Allén;60.595378087301;15.741400936391;580314;7447774;Allén;60.595377770992;15.741419297627
Allevägen (Falun);60.601432718991;15.658244605266;580538;7447585;Allevägen;60.601414359358;15.658171798549
Allfarvägen;60.499381000687;15.417921375591;581266;7447327;Allfarvägen;60.499335753585;15.417903897201
Almberg;60.742718137229;15.165515515752;529117;7448316;Almberg;60.742753310613;15.165441656771
Almberg vsk;60.740395720087;15.169723349821;529162;7448281;Almberg vsk;60.740440131432;15.169704316089
Almo;60.760029113768;14.83997963558;529027;7448385;Almo;60.760011174485;14.840035438954
Alsbo vsk;60.110223777868;16.286677932694;584139;7446330;Alsbo vsk;60.110313369104;16.286661349441
Alsbäck;60.475183990884;15.496741182026;581055;7425279;Alsbäck;60.475219576751;15.496741010557
Altsarbyn;60.853896115852;15.110875070461;531107;7448499;Altsarbyn;60.853950040082;15.110966056261
Alvik gamla pensionatet;60.746296218835;14.88060531811;529010;7425362;Alvik gamla pensionatet;60.746295834131;14.880605554249
Alvik, Vattenverket;60.749342348769;14.890273686233;529345;7425362;Alvik gamla pensionatet;60.746295834131;14.880605554249
Amsberg korsn rv 70;60.529487078886;15.33796953795;581153;7413000;Amsberg korsning väg 70;60.529504635593;15.33795125623
Amshyttan;60.434868628446;15.944440168749;583108;7425176;Amshyttan;60.434850613231;15.944222275799
Amundshögen;60.41026460304;15.971101529255;583001;7446704;Amundshögen;60.410228349727;15.971155886363
Andrens Sörboda;61.10603906506;15.25282624045;531015;7448563;Andrens Sörboda;61.106074680968;15.252862803675
ABB Ludvika rv 50;60.143950862057;15.179105746649;585268;7412954;Ludvika ABB väg 50;60.14398649596;15.179105332206
Abborns;60.707396499724;15.783058098931;580118;7447935;Abborns;60.707396170028;15.783131439554
Albacken;60.691023970547;13.711405852537;523212;7448748;Albacken;60.691023833975;13.711424618293
Alderbäcken;60.447391390396;15.422066474792;581109;7425268;Alderbäcken;60.447382366038;15.422157600365
Algatan Älvbro;60.160568689995;16.140372070324;584207;7446274;Algatan Älvbro;60.160577245048;16.140444300516
Allén;60.595378087301;15.741400936391;580314;7447774;Allén;60.595377770992;15.741419297627
Allevägen (Falun);60.601432718991;15.658244605266;580538;7447585;Allevägen;60.601414359358;15.658171798549
Allfarvägen;60.499381000687;15.417921375591;581266;7447327;Allfarvägen;60.499335753585;15.417903897201
Almberg;60.742718137229;15.165515515752;529117;7448316;Almberg;60.742753310613;15.165441656771
Almberg vsk;60.740395720087;15.169723349821;529162;7448281;Almberg vsk;60.740440131432;15.169704316089
Almo;60.760029113768;14.83997963558;529027;7448385;Almo;60.760011174485;14.840035438954
Alsbo vsk;60.110223777868;16.286677932694;584139;7446330;Alsbo vsk;60.110313369104;16.286661349441
