name;lat;lon;id;gtfsid;gtfsname;gtfslat;gtfslon
Abild;56.935075905358;12.724861386587;5079;7417001;Abild;56.935076166168;12.72486162153
Agerör Olofsbo;56.914242880918;12.409722519908;5141;7433811;Agerör;56.914243183967;12.409722757776
Ahla Kungsgården;56.513475776527;13.069797777312;2019;7411233;Ahla Kungsgården;56.513476000839;13.069797835049
Ahla nedre;56.51262169752;13.079983284157;2021;7433054;Ahla nedre;56.512621920485;13.079983341927
Ahla skola;56.512447845965;13.088445855743;2022;7423607;Ala skolan;56.51251086093;13.088441417325
Ahlarakan;56.520959748218;13.116670259035;2181;7433136;Ahlarakan;56.520959966592;13.116670321805
Alafors kyrkväg;57.546361418921;12.099653115658;719834;7461651;Alafors kyrkväg;57.546389550497;12.09968424672
Alebo (Unnaryd);56.945492520675;13.52333887675;4075;7433696;Alebo;56.945492694207;13.523339103683
Alekärr;57.512490203737;12.117454692602;719849;7461659;Alekärr;57.512490477999;12.117455210509
Alekärr Kvibille;56.787326358174;12.817294450675;3333;7433341;Alekärr;56.787326613524;12.817294621674
Alfshög kyrka Vessigebro;56.974835967164;12.627987380844;5445;7423631;Alfshög kyrka;56.974836237729;12.627987635946
Alfsväg Rävinge;56.805008669648;12.73301116806;3356;7433354;Alfsväg;56.805008935271;12.733011347653
Allarängen;57.5152352656;12.211534352484;719880;7461676;Allarängen;57.515227517323;12.211569048656
Allberg Årstad;56.920663857142;12.651442853709;5043;7433737;Allberg;56.920664127945;12.651443084985
Alledal  Esmared;56.71546354233;13.196180138811;3163;7433262;Alledal;56.715463752596;13.196180282311
Almedal;57.326428164574;12.215724412895;719653;7461595;Almedal;57.326428452823;12.215724844626
Alslöv;56.605756960809;13.046687207355;3059;7433191;Alslöv;56.605757189182;13.046687303511
Alslöv Bruket;56.611966783489;13.044327698738;3057;7433190;Alslöv Bruket;56.61196701219;13.04432779744
Alslöv Tre högar;56.616976636568;13.031658695135;3055;7433189;Alslöv Tre högar;56.616976866899;13.031658795638
Alvesta C jvstn;56.898109223111;14.55287807268;8058;7420361;Riksdagsmannagården;56.899895579894;14.552785654002
Abild;56.935075905358;12.724861386587;5079;7417001;Abild;56.935076166168;12.72486162153
Agerör Olofsbo;56.914242880918;12.409722519908;5141;7433811;Agerör;56.914243183967;12.409722757776
Ahla Kungsgården;56.513475776527;13.069797777312;2019;7411233;Ahla Kungsgården;56.513476000839;13.069797835049
Ahla nedre;56.51262169752;13.079983284157;2021;7433054;Ahla nedre;56.512621920485;13.079983341927
Ahla skola;56.512447845965;13.088445855743;2022;7423607;Ala skolan;56.51251086093;13.088441417325
Ahlarakan;56.520959748218;13.116670259035;2181;7433136;Ahlarakan;56.520959966592;13.116670321805
Alafors kyrkväg;57.546361418921;12.099653115658;719834;7461651;Alafors kyrkväg;57.546389550497;12.09968424672
Alebo (Unnaryd);56.945492520675;13.52333887675;4075;7433696;Alebo;56.945492694207;13.523339103683
Alekärr;57.512490203737;12.117454692602;719849;7461659;Alekärr;57.512490477999;12.117455210509
Alekärr Kvibille;56.787326358174;12.817294450675;3333;7433341;Alekärr;56.787326613524;12.817294621674
Alfshög kyrka Vessigebro;56.974835967164;12.627987380844;5445;7423631;Alfshög kyrka;56.974836237729;12.627987635946
Alfsväg Rävinge;56.805008669648;12.73301116806;3356;7433354;Alfsväg;56.805008935271;12.733011347653
Allarängen;57.5152352656;12.211534352484;719880;7461676;Allarängen;57.515227517323;12.211569048656
Allberg Årstad;56.920663857142;12.651442853709;5043;7433737;Allberg;56.920664127945;12.651443084985
Alledal  Esmared;56.71546354233;13.196180138811;3163;7433262;Alledal;56.715463752596;13.196180282311
Almedal;57.326428164574;12.215724412895;719653;7461595;Almedal;57.326428452823;12.215724844626
Alslöv;56.605756960809;13.046687207355;3059;7433191;Alslöv;56.605757189182;13.046687303511
Alslöv Bruket;56.611966783489;13.044327698738;3057;7433190;Alslöv Bruket;56.61196701219;13.04432779744
Alslöv Tre högar;56.616976636568;13.031658695135;3055;7433189;Alslöv Tre högar;56.616976866899;13.031658795638
Alvesta C jvstn;56.898109223111;14.55287807268;8058;7420361;Riksdagsmannagården;56.899895579894;14.552785654002
Amfrebo;57.022459766265;13.16673635603;4020;7433664;Amfrebo;57.022459972708;13.16673661237
Ammås Fridhemsberg;57.156251500194;12.735063905534;5337;7433882;Ammås;57.156251745194;12.735064228086
Andersfält Eldsberga;56.581365983671;13.001823174273;3013;7433157;Andersfält;56.581366217698;13.001823258908
Angryd Dagsås;57.084996052126;12.550635165765;6441;7423696;Angryd;57.084906244087;12.550626867643
Anneberg;57.537149662153;12.101792613915;8052;7400285;Anneberg station;57.53924512842;12.100611012872
Anneberg Varberg;57.151737165937;12.270220374157;6086;7423595;Anneberg;57.151737467259;12.270220726793
Annebergs plantskola;57.553220914987;12.099122706805;719829;7461647;Annebergs plantskola;57.553203264642;12.099125065735
Annebergs station;57.538599987297;12.103132613685;719820;7400285;Anneberg station;57.53924512842;12.100611012872
Annebergsvägen;57.577292908874;12.094698186157;812731;7459896;Annebergsvägen;57.577101189138;12.095504579134
Annelundsvägen;57.511973973944;11.950374048461;719210;7400852;Särö Annelundsvägen;57.512136034749;11.95037419963
Anåsbergsvägen;57.408850278298;11.992605928502;719491;7416019;Mariedal;57.405389235678;11.985756425124
Apelviksleden Varberg;57.089357213085;12.261524816952;6583;7434299;Varbeg Apelviksleden;57.089357521729;12.261525142734
Arken;57.473308210826;11.943025702279;719330;7461444;Arken;57.473308001305;11.943009597946
Asige;56.874233638881;12.740784444602;5071;7417002;Asige;56.874233900685;12.740784653641
Askome gärde;57.011959338999;12.677342271842;5415;7433915;Askome gärde;57.011941257112;12.677327611942
Askome Ätrafors;57.017804948459;12.671447828563;5417;7417003;Askome;57.017795832597;12.671432416815
Aspelund  Kärradal;57.194972670161;12.216784929473;6285;7434159;Aspelund;57.194972973718;12.216785305405
Assberg;57.495048648633;12.670100063185;8030;7400286;Assberg station;57.4948322987;12.669701915408
Asserlundsvägen;57.405212061648;12.149169926755;719576;7461546;Asserlundsvägen;57.405212347552;12.149170397992
Attarpsvägen Ätrafors;57.038907794282;12.601778646348;5363;7433892;Attarpsvägen;57.038908063781;12.601778929416
Ava;57.473818063875;12.238477047315;719552;7461533;Ava;57.473728241489;12.238469645593
Axtorp;57.419702147142;12.295398469277;719740;7461620;Axtorp;57.419694378543;12.295433011469
Backa Gällinge;57.377418328254;12.272825943748;719733;7415815;Backa;57.377335612851;12.272751197309
Backa Väröbacka;57.245007913627;12.188808172873;6126;7423596;Backa;57.245008215033;12.188808572975
Backagård Derome;57.215244311857;12.311860690813;6062;7434090;Backagård;57.21524506141;12.311877586873
Backen;57.37033155795;12.364009078072;719539;7461525;Backen;57.370314351334;12.364027783518
Backhult Bölse;56.959796544718;12.394620093965;5116;7433792;Backhult;56.959796846609;12.394620353253
Balg Torpa;57.18411353587;12.279702158968;6048;7434082;Balg;57.184113832617;12.279702524828
Banka;57.448850929165;12.268965876959;719582;7461548;Banka;57.448681382817;12.2689994338
Bassarås norra;56.803471016875;13.3374231756;8111;7435994;Bassarås norra;56.803467002645;13.337210759388
Bassarås södra;56.800285454279;13.330804973821;8110;7435996;Bassarås södra;56.799469544419;13.330875330463
Beda Hallbergs väg Onsala;57.439145658894;12.044517130956;719422;7461487;Beda Hallbergs väg;57.439107133908;12.04442161845
Bedagårdens äldreboende Onsala;57.435525158808;12.040356286243;719421;7461486;Bedagårdens äldreboende;57.435577721135;12.040301411485
Bengtsgård Himle;57.056945113233;12.31051693109;6067;7434094;Bengtsgård;57.056945418414;12.310517238964
Bergagård Eftra;56.84743124731;12.653545867676;5026;7433725;Bergagård (Slöinge);56.847431521547;12.653546067286
Bergagård Rolfstorp;57.156119157199;12.465327340089;6385;7423597;Bergagård;57.156092540692;12.465330107029
Bergagårdsvägen Slöinge;56.866409531299;12.662841382428;5042;7433736;Bergagårdsvägen;56.866409803435;12.662841590057
Berget;57.563413162527;12.092433264962;812744;7459908;Berget;57.563594232081;12.092164528277
Berghem;57.467924651333;12.599471457911;8028;7400339;Berghem station;57.466980367838;12.59837077237
Bergsgård (Funcity Varberg);57.067003966704;12.338076884216;6016;7434068;Bergsgård;57.067004267366;12.338077194713
Bergsäter;57.326230685286;12.288179325763;719724;7416048;Bergsäter;57.328881527497;12.287843067659
Bertils gärde Ljungby;57.00904472674;12.593562042296;5094;7433774;Bertils gärde;57.009044999356;12.593562313303
Backa Gällinge;57.377418328254;12.272825943748;719733;7415815;Backa;57.377335612851;12.272751197309
Backa Väröbacka;57.245007913627;12.188808172873;6126;7423596;Backa;57.245008215033;12.188808572975
Backagård Derome;57.215244311857;12.311860690813;6062;7434090;Backagård;57.21524506141;12.311877586873
Backen;57.37033155795;12.364009078072;719539;7461525;Backen;57.370314351334;12.364027783518
Backhult Bölse;56.959796544718;12.394620093965;5116;7433792;Backhult;56.959796846609;12.394620353253
Balg Torpa;57.18411353587;12.279702158968;6048;7434082;Balg;57.184113832617;12.279702524828
Banka;57.448850929165;12.268965876959;719582;7461548;Banka;57.448681382817;12.2689994338
Bassarås norra;56.803471016875;13.3374231756;8111;7435994;Bassarås norra;56.803467002645;13.337210759388
Bassarås södra;56.800285454279;13.330804973821;8110;7435996;Bassarås södra;56.799469544419;13.330875330463
Beda Hallbergs väg Onsala;57.439145658894;12.044517130956;719422;7461487;Beda Hallbergs väg;57.439107133908;12.04442161845
Bedagårdens äldreboende Onsala;57.435525158808;12.040356286243;719421;7461486;Bedagårdens äldreboende;57.435577721135;12.040301411485
Bengtsgård Himle;57.056945113233;12.31051693109;6067;7434094;Bengtsgård;57.056945418414;12.310517238964
Bergagård Eftra;56.84743124731;12.653545867676;5026;7433725;Bergagård (Slöinge);56.847431521547;12.653546067286
Bergagård Rolfstorp;57.156119157199;12.465327340089;6385;7423597;Bergagård;57.156092540692;12.465330107029
Bergagårdsvägen Slöinge;56.866409531299;12.662841382428;5042;7433736;Bergagårdsvägen;56.866409803435;12.662841590057
Berget;57.563413162527;12.092433264962;812744;7459908;Berget;57.563594232081;12.092164528277
Berghem;57.467924651333;12.599471457911;8028;7400339;Berghem station;57.466980367838;12.59837077237
Bergsgård (Funcity Varberg);57.067003966704;12.338076884216;6016;7434068;Bergsgård;57.067004267366;12.338077194713
Bergsäter;57.326230685286;12.288179325763;719724;7416048;Bergsäter;57.328881527497;12.287843067659
Bertils gärde Ljungby;57.00904472674;12.593562042296;5094;7433774;Bertils gärde;57.009044999356;12.593562313303
Biared;57.327057206156;12.274393837675;719597;7461556;Biared;57.327057487322;12.274394263741
Biskopsgärde;57.429143007942;12.406579590545;719766;7461627;Biskopsgärde;57.429143261517;12.40658004308
Biskopstorp;56.750432367732;12.848487733467;3142;7433246;Biskopstorp;56.750432620084;12.84848788859
Bjerrome Askome;56.992950683708;12.67105375222;5411;7433913;Bjerrome;56.992950124061;12.671021158991
Bjärnared Mosilt;56.900802725143;12.860231483878;5091;7417006;Bjärnared;56.900802971055;12.860231701211
Björkengrens Grimsholmen;56.854629418167;12.558977261214;5237;7433840;Björkengrens;56.85462970458;12.55897746656
Björketorp;57.427227042447;12.523312958009;8027;7400981;Björketorp station;57.427689672351;12.523471854434
Björkgläntan Onsala;57.442057566157;12.044817905272;719423;7461488;Björkgläntan;57.441884643067;12.04473619808
Björkhagen;57.434201438635;12.225991656914;719663;7461603;Björkhagen;57.434201711689;12.225992131002
Björkris;57.516173918407;12.081057661755;719141;7461375;Björkris;57.51631155066;12.081144375606
Björkvik Skärkered;56.705889884111;13.058516471238;3155;7433256;Björkvik;56.70589011085;13.058516608901
Björkäng Tvååkersvägen;57.008724344971;12.359452364914;6022;7417009;Björkäng Tvååkersvägen;57.008724647781;12.359452648147
Björkås;56.66689284327;12.93610679803;3217;7433292;Björkås;56.666893085707;12.936106917967
Björkåsvägen Grimeton;57.113528148655;12.407293940899;6407;7434199;Björkåsvägen;57.113536505983;12.407260493045
Björnaryd (Landeryd);57.075113442567;13.359662542323;4045;7433682;Björnaryd;57.075113627729;13.359662812013
Björsgård;57.504506145444;12.127477358641;719887;7461680;Björsgård;57.504470577336;12.127481483105
Björsgård Grimsholmen;56.855731130807;12.552976992452;5233;7433838;Björsgård;56.855731417967;12.552977198472
Björsgård Torpa;57.196817864386;12.289846733268;6054;7434086;Björsgård;57.196818158512;12.289847103711
Blixtorp norra Årstad;56.911230070524;12.690133303234;5059;7433747;Blixtorp norra;56.91123033693;12.690133529267
Blixtorp Årstad;56.907384576891;12.69843588554;5061;7417011;Blixtorp;56.907384842447;12.698436109699
Bläshammar;57.156518415203;12.249588102304;6102;7434110;Bläshammar;57.156518718681;12.249588458695
Bläshammars skola;57.151833825024;12.256156245795;6100;7423645;Bläshammar skolan;57.15183132533;12.256057657072
Boarp (Skeppshult);57.102166382455;13.374220572602;4047;7433684;Boarp;57.102166565126;13.374220850523
Boarp Ulvsbo;57.08922256948;12.672994206036;5090;7433771;Boarp;57.089231380968;12.672977279384
Boarpsvägen Öringe;56.596867120839;13.057449673948;2167;7433126;Boarpsvägen;56.59686734779;13.057449766655
Boberg  (Falkenberg);56.868578776403;12.605365368379;5023;7417012;Boberg;56.868578636035;12.605349207096
Bobergsgården Grimsholmen;56.850800847147;12.555848819261;5241;7433842;Bobergsgården;56.850801134178;12.555849022983
Bobergsudde Grimsholmen;56.848271741483;12.554657982749;5243;7417013;Bobergsudde;56.845725798241;12.554879188464
Bobergsvägen;56.882701267121;12.584641344184;5170;7433820;Bobergsvägen;56.882684885048;12.584692237226
Bockagård Rolfstorp;57.141088127632;12.417558818392;6160;7434140;Bockagård;57.141081230931;12.417625929288
Boda (Unnaryd);56.982913682645;13.491992852943;4067;7433693;Boda;56.982913858333;13.49199309171
Boggas Tofta;57.175173248801;12.282308469288;6044;7434078;Boggas;57.17518250876;12.282307977153
Bol Tågarp;56.958151506938;12.617468757593;5399;7433907;Bol;56.958151779865;12.617469006065
Bonnås Årnäs;57.198407307234;12.202427997517;6321;7434174;Bonnås;57.198407612244;12.202428376212
Borra Röshult;57.583687411023;12.26594738409;719874;7461672;Borra;57.583787175139;12.265971695058
Borrås Tvååker;57.013364618083;12.42474839913;6043;7434077;Borrås;57.01336491192;12.424748680682
Borsthult Haksered;57.148748655302;12.618085132055;5104;7433780;Borsthult;57.148748914303;12.618085458713
Borås Resecentrum;57.721442794424;12.932946373038;8041;7400300;Borås Centralstation;57.720837618539;12.932004282981
Borås järnvägsstation;57.721442794424;12.932946373038;8034;7400300;Borås Centralstation;57.720837618539;12.932004282981
