name;lat;lon;id;gtfsid;gtfsname;gtfslat;gtfslon
Abbarp;57.947082690244;14.047643900878;23173;7441028;Abbarp;57.947082765259;14.04764433141
Adelöv marknadsplats;58.012766818445;14.667902329855;7024;7404051;Adelöv Marknadsplatsen;58.012802773669;14.667901576606
Adelöv Mickelstorp;58.019191307676;14.700999686221;7027;7440654;Adelöv Mickelstorp;58.019191355077;14.701000071208
Adelöv Noen;58.012858743857;14.707996144976;7096;7440713;Adelöv Noen;58.012858791679;14.707996528925
Adelöv Nostorp;58.016945911865;14.689613843518;7095;7440712;Adelöv Nostorp;58.016945959727;14.689614229197
Adelöv Skog V;58.002984305175;14.717702608547;7028;7440655;Adelöv Skog V;58.002984353672;14.717702990979
Adelöv Skog Ö;58.000900268804;14.724970687281;7029;7440656;Adelöv Skog Ö;58.000900317325;14.724971069005
Adelöv Svalhult;58.007057997728;14.626707489424;7023;7440653;Adelöv Svalhult;58.007058047982;14.626707879116
Adelövs kyrka;58.026356146801;14.668333757334;7025;7423525;Adelöv kyrka;58.026356194281;14.668334145425
Alingsås;57.926897810425;12.533570913688;25013;7400018;Alingsås station;57.926861213663;12.532493992353
Alseda Aspö;57.425670836311;15.243697885632;6024;7440454;Aspö;57.425670906018;15.243698202075
Alseda Bruksgården;57.408701919295;15.288181638873;6027;7440455;Bruksgården;57.408675325426;15.288248881898
Alseda Fröknabo;57.408019928564;15.268991472518;6104;7440513;Fröknabo;57.40801999813;15.268991787611
Alseda kyrka;57.419139360557;15.251020975661;6029;7410014;Alseda kyrka;57.419139283604;15.250988008471
Alseda Nyaby;57.388286493284;15.282583106726;6106;7440514;Nyaby;57.388286562943;15.282583420436
Alseda Nyevägen;57.413385171364;15.265851144931;6060;7440478;Alseda Nyevägen;57.413358447054;15.265885135102
Alseda Slättåkra;57.393321945383;15.271418457267;6105;7425567;Slättåkra;57.393339972949;15.271418509786
Alseda Stationsvägen;57.416119977505;15.256641508628;6028;7424381;Alseda Stationsvägen;57.416120047154;15.256641824333
Alvesta station;56.898950634685;14.557084167897;35009;7400004;Alvesta station;56.898776091892;14.557582590554
Alvesta Svampvägen;56.903946377044;14.529768367696;35008;7424700;Alvesta Svampvägen;56.903522843601;14.52961891857
Abbarp;57.947082690244;14.047643900878;23173;7441028;Abbarp;57.947082765259;14.04764433141
Adelöv marknadsplats;58.012766818445;14.667902329855;7024;7404051;Adelöv Marknadsplatsen;58.012802773669;14.667901576606
Adelöv Mickelstorp;58.019191307676;14.700999686221;7027;7440654;Adelöv Mickelstorp;58.019191355077;14.701000071208
Adelöv Noen;58.012858743857;14.707996144976;7096;7440713;Adelöv Noen;58.012858791679;14.707996528925
Adelöv Nostorp;58.016945911865;14.689613843518;7095;7440712;Adelöv Nostorp;58.016945959727;14.689614229197
Adelöv Skog V;58.002984305175;14.717702608547;7028;7440655;Adelöv Skog V;58.002984353672;14.717702990979
Adelöv Skog Ö;58.000900268804;14.724970687281;7029;7440656;Adelöv Skog Ö;58.000900317325;14.724971069005
Adelöv Svalhult;58.007057997728;14.626707489424;7023;7440653;Adelöv Svalhult;58.007058047982;14.626707879116
Adelövs kyrka;58.026356146801;14.668333757334;7025;7423525;Adelöv kyrka;58.026356194281;14.668334145425
Alingsås;57.926897810425;12.533570913688;25013;7400018;Alingsås station;57.926861213663;12.532493992353
Alseda Aspö;57.425670836311;15.243697885632;6024;7440454;Aspö;57.425670906018;15.243698202075
Alseda Bruksgården;57.408701919295;15.288181638873;6027;7440455;Bruksgården;57.408675325426;15.288248881898
Alseda Fröknabo;57.408019928564;15.268991472518;6104;7440513;Fröknabo;57.40801999813;15.268991787611
Alseda kyrka;57.419139360557;15.251020975661;6029;7410014;Alseda kyrka;57.419139283604;15.250988008471
Alseda Nyaby;57.388286493284;15.282583106726;6106;7440514;Nyaby;57.388286562943;15.282583420436
Alseda Nyevägen;57.413385171364;15.265851144931;6060;7440478;Alseda Nyevägen;57.413358447054;15.265885135102
Alseda Slättåkra;57.393321945383;15.271418457267;6105;7425567;Slättåkra;57.393339972949;15.271418509786
Alseda Stationsvägen;57.416119977505;15.256641508628;6028;7424381;Alseda Stationsvägen;57.416120047154;15.256641824333
Alvesta station;56.898950634685;14.557084167897;35009;7400004;Alvesta station;56.898776091892;14.557582590554
Alvesta Svampvägen;56.903946377044;14.529768367696;35008;7424700;Alvesta Svampvägen;56.903522843601;14.52961891857
Anderstorp Allégatan;57.275232258755;13.627927512314;4018;7440266;Anderstorp Allégatan;57.275258756223;13.62789311168
Anderstorp Brogatan;57.282983737178;13.627403115242;4015;7440264;Anderstorp Brogatan;57.28298388969;13.627403437758
Anderstorp Knallabo;57.282194628869;13.619720911913;4014;7440263;Anderstorp Knallabo;57.282194782015;13.619721234492
Anderstorp Långgatan;57.270462302065;13.626866267903;4019;7440267;Anderstorp Långgatan;57.270452907796;13.626833990935
Anderstorp Lövås industriområde;57.270399506364;13.617568483634;4022;7470424;Anderstorp Lövås industr;57.270399660301;13.617568803169
Anderstorp Motorbanan;57.2601219661;13.606144317103;4021;7470423;Anderstorp Motorbanan;57.260122121463;13.606144634286
Anderstorp Oljevägen;57.281389404122;13.613200943695;4104;7440323;Anderstorp Oljevägen;57.281389557814;13.613201266291
Anderstorp Ringvägen;57.28496579072;13.644917607745;4088;7440311;Anderstorp Ringvägen;57.284965941787;13.644917930168
Anderstorp Räddningsstationen;57.287760174986;13.591821312664;4103;7440322;Anderstorp Räddningsstat;57.28776032999;13.591821637722
Anderstorp station;57.280394646739;13.627274201944;4016;7400518;Anderstorp station;57.280394799399;13.627274523784
Anderstorp Stjärnehult;57.292069131474;13.6647737319;4090;7411495;Stjärnehult;57.292069280662;13.664774055471
Anderstorp Terrassvägen;57.266050467352;13.612322561942;4116;7463501;Anderstorp Terrassvägen;57.266050621924;13.612322880501
Anderstorp Tokarp;57.286597503807;13.66099459233;4108;7440327;Anderstorp Tokarp;57.286597653569;13.660994914622
Anderstorp Torget;57.282962523283;13.633441607724;4086;7440309;Anderstorp Torget;57.282962675333;13.633441930022
Anderstorps kyrka;57.283594851872;13.638330399925;4087;7440310;Anderstorps kyrka;57.283595003515;13.638330722219
Aneby Allianskyrkan;57.838696436916;14.809000106703;12003;7440906;Aneby Allianskyrkan;57.838696496658;14.809000469574
Aneby gård;57.829855764117;14.817525812092;12034;7440929;Aneby gård;57.829855824293;14.817526173728
Aneby Hullarydsvägen;57.839417118556;14.804737323658;12004;7440907;Aneby Hullarydsvägen;57.839417178347;14.804737686835
Aneby Konserthuset;57.835115995912;14.816169628435;12081;7425593;Aneby Konserthuset;57.835126083673;14.816304393603
Aneby Resecentrum;57.837229455952;14.812003732258;12001;7400379;Aneby station;57.836232512026;14.810819417542
Aneby Rydholmsvägen;57.846931754393;14.796681155796;12055;7440944;Aneby Rydholmsvägen;57.846931813826;14.796681520082
Aneby Röttlegatan;57.843065515003;14.818847738055;12040;7440931;Aneby Röttlegatan;57.843065574192;14.818848100726
Aneby Stalpet;57.847998629935;14.822771351682;12041;7440932;Stalpet;57.84799868867;14.822771714536
Aneby Storgatan;57.838237626822;14.818070668748;12082;7440952;Aneby Storgatan;57.83823768638;14.81807103106
Aneby Tolarp;57.829426731135;14.766115324184;12006;7440909;Tolarp;57.82942679261;14.766115688717
Aneby Torget;57.838809945463;14.817768778467;12002;7425592;Aneby torget;57.838855153761;14.817801577269
