name;lat;lon;id;gtfsid;gtfsname;gtfslat;gtfslon
Aboda;57.060570938921;15.971475081769;57023;7452723;Åbron;57.080110360035;16.095618819295
Adelgatan;56.685044225214;16.345844400627;34222;7452139;Adelgatan;56.685053315753;16.345828561506
Agebo;56.667913996193;15.844200361966;41024;7422382;Agebo;56.667896069323;15.844216953991
Albert Tengers väg;57.758671976445;16.620277825744;95083;7422383;Västervik Albert Tengers väg;57.758636237049;16.6202605152
Alböke;56.947167050146;16.778601592279;15008;7414086;Alböke;56.947175711332;16.778651481306
Albrunna Norra;56.328322222081;16.408032014941;5023;7451448;Albrunna norra;56.328322224006;16.408032383177
Albrunna Södra;56.32344249046;16.406807683172;5022;7451447;Albrunna södra;56.323478334722;16.406824777052
Alby skola;56.485084883138;16.575441612655;10016;7417962;Alby skola;56.485102966908;16.575426130053
Alby skola vändplan;56.485652071537;16.573764947813;10012;7451532;Alby skola vändplan;56.48582838013;16.574304552186
Alebo;57.092472389385;16.085074962042;57029;7452723;Åbron;57.080110360035;16.095618819295
Alebogatan;56.833324439945;16.164416358507;38019;7452264;Alebogatan;56.833252932011;16.164317714893
Aledal;56.703050497864;16.50000136742;8025;7414488;Stora Hult vägskäl;56.697455281338;16.522294061486
Algutsboda kyrka;56.722746829798;15.580697392456;27012;7414084;Algutsboda kyrka;56.722746788108;15.580648671609
Algutsboö;56.706696655424;15.579373017281;27064;7451950;Mjödahult vsk;56.711116595015;15.55671531912
Algutsrum kyrka;56.678357670672;16.529354598873;8010;7414088;Algutsrum kyrka;56.678375198263;16.529436875504
Algutsrums rastplats;56.682746384866;16.522063530974;8051;7422381;Algutsrum rastplats;56.682189972791;16.522004393227
Allfargatan;56.412351170507;16.001688518562;20013;7451719;Allfargatan;56.412342099696;16.001753584049
Allgunås;56.534871453171;15.390667535564;24069;7414381;Strängsmåla;56.566895142857;15.448030114264
Allgunnen;57.064082208466;15.990660612416;57022;7452723;Åbron;57.080110360035;16.095618819295
Allhamra;57.10854386267;16.123796082008;57001;7452705;Allhamra;57.108508173074;16.123730087959
Aboda;57.060570938921;15.971475081769;57023;7452723;Åbron;57.080110360035;16.095618819295
Adelgatan;56.685044225214;16.345844400627;34222;7452139;Adelgatan;56.685053315753;16.345828561506
Agebo;56.667913996193;15.844200361966;41024;7422382;Agebo;56.667896069323;15.844216953991
Albert Tengers väg;57.758671976445;16.620277825744;95083;7422383;Västervik Albert Tengers väg;57.758636237049;16.6202605152
Alböke;56.947167050146;16.778601592279;15008;7414086;Alböke;56.947175711332;16.778651481306
Albrunna Norra;56.328322222081;16.408032014941;5023;7451448;Albrunna norra;56.328322224006;16.408032383177
Albrunna Södra;56.32344249046;16.406807683172;5022;7451447;Albrunna södra;56.323478334722;16.406824777052
Alby skola;56.485084883138;16.575441612655;10016;7417962;Alby skola;56.485102966908;16.575426130053
Alby skola vändplan;56.485652071537;16.573764947813;10012;7451532;Alby skola vändplan;56.48582838013;16.574304552186
Alebo;57.092472389385;16.085074962042;57029;7452723;Åbron;57.080110360035;16.095618819295
Alebogatan;56.833324439945;16.164416358507;38019;7452264;Alebogatan;56.833252932011;16.164317714893
Aledal;56.703050497864;16.50000136742;8025;7414488;Stora Hult vägskäl;56.697455281338;16.522294061486
Algutsboda kyrka;56.722746829798;15.580697392456;27012;7414084;Algutsboda kyrka;56.722746788108;15.580648671609
Algutsboö;56.706696655424;15.579373017281;27064;7451950;Mjödahult vsk;56.711116595015;15.55671531912
Algutsrum kyrka;56.678357670672;16.529354598873;8010;7414088;Algutsrum kyrka;56.678375198263;16.529436875504
Algutsrums rastplats;56.682746384866;16.522063530974;8051;7422381;Algutsrum rastplats;56.682189972791;16.522004393227
Allfargatan;56.412351170507;16.001688518562;20013;7451719;Allfargatan;56.412342099696;16.001753584049
Allgunås;56.534871453171;15.390667535564;24069;7414381;Strängsmåla;56.566895142857;15.448030114264
Allgunnen;57.064082208466;15.990660612416;57022;7452723;Åbron;57.080110360035;16.095618819295
Allhamra;57.10854386267;16.123796082008;57001;7452705;Allhamra;57.108508173074;16.123730087959
Almlunda;57.828300973778;16.459443693252;96015;7453614;Almlunda;57.828346094837;16.45941113882
Almvik skola;57.829513115226;16.448895425243;96019;7453616;Almvik skola;57.829477600964;16.448827758846
Almviks by;57.826975882385;16.467380481323;96014;7414090;Almvik by;57.826957545456;16.467464588541
Alseda kyrka;57.419139360557;15.251020975661;161002;7410014;Alseda kyrka;57.419139283604;15.250988008471
Alseda Stationsvägen;57.416119977505;15.256641508628;161004;7424381;Alseda Stationsvägen;57.416120047154;15.256641824333
Alsjö;56.633177720837;15.651805104663;25011;7451900;Alsjö;56.63314175733;15.651740352382
Alsjö gamla skola;56.629302993991;15.634892324698;25110;7451901;Ödevata vsk;56.630078272057;15.643769053222
Alsjöholm;56.619476474935;15.834622782132;41030;7414087;Alsjöholm;56.619494485333;15.834557937394
