name;lat;lon;id;gtfsid;gtfsname;gtfslat;gtfslon
Agnshult;56.54033095855;14.351890886695;65041;7437269;Agnshult;56.540331051605;14.35189103321
Agnshultsvägen;56.718306627723;14.198218638051;81177;7436181;Agnshultsvägen;56.718306741487;14.198218818803
Agunnaryd  kyrka;56.746805567217;14.146833381997;81173;7410006;Agunnaryd kyrka;56.746805685882;14.146833567406
Agunnaryd vägskäl;56.726149288382;14.140228217339;81336;7436185;Lidhem Ljungby;56.726244191381;14.140599973695
Agunnaryd, Bråna;56.748276398658;14.14667044091;81172;7424723;Agunnaryd Bråna;56.74827651738;14.146670626688
Alandsköp;56.526671646924;13.698507871474;67029;7436430;Alandsköp;56.52667179787;13.698507966434
Albrekts väg;56.747868012262;14.92556288042;80211;7435532;Albrekts väg;56.747679520652;14.925567523951
Alegatan;56.87337626893;14.823886128558;80024;7434807;Fläkten;56.873367370953;14.823886609188
Alledal, Halland;56.715590242799;13.195795603606;94020;7433262;Alledal;56.715463752596;13.196180282311
Allmogevägen;56.842279308671;14.800547070982;80011;7434790;Allmogevägen;56.842279389412;14.800547309934
Alsterbro;56.941856628831;15.91449913286;92004;7414082;Alsterbro centrum;56.942826386763;15.914650120783
Alsterfors, Uppvidinge;56.957868071154;15.604147046282;60032;7437064;Alsterfors;56.957868130447;15.604147341726
Alstermo skola;56.971488595477;15.660897745893;60111;7400091;Alstermo Värdshuset;56.97363330465;15.659574234545
Alstermo terminal;56.974976545886;15.649143290179;60110;7450561;Alstermo terminal;56.97497660516;15.649143588919
Alstermo, Larmgatan;56.975146803456;15.656164104758;60040;7424759;Alstermo Larmgatan;56.975146862639;15.656164403879
Altona;56.695839719102;14.799460676742;80314;7435519;Altona;56.695839793006;14.799460890865
Alvesta Folkets hus;56.900746475679;14.553462656037;64149;7420362;Alvesta Folkets hus;56.900764526956;14.553462292577
Alvesta Kyrka;56.900741110949;14.564623474665;64137;7424690;Alvesta kyrka;56.900758998656;14.564606709716
Alvesta resecentrum;56.898887251946;14.556134393695;64204;7400004;Alvesta station;56.898776091892;14.557582590554
Amundgård;57.000091623276;14.677069544956;80447;7435280;Amundgård;57.00009171417;14.677069804764
Agnshult;56.54033095855;14.351890886695;65041;7437269;Agnshult;56.540331051605;14.35189103321
Agnshultsvägen;56.718306627723;14.198218638051;81177;7436181;Agnshultsvägen;56.718306741487;14.198218818803
Agunnaryd  kyrka;56.746805567217;14.146833381997;81173;7410006;Agunnaryd kyrka;56.746805685882;14.146833567406
Agunnaryd vägskäl;56.726149288382;14.140228217339;81336;7436185;Lidhem Ljungby;56.726244191381;14.140599973695
Agunnaryd, Bråna;56.748276398658;14.14667044091;81172;7424723;Agunnaryd Bråna;56.74827651738;14.146670626688
Alandsköp;56.526671646924;13.698507871474;67029;7436430;Alandsköp;56.52667179787;13.698507966434
Albrekts väg;56.747868012262;14.92556288042;80211;7435532;Albrekts väg;56.747679520652;14.925567523951
Alegatan;56.87337626893;14.823886128558;80024;7434807;Fläkten;56.873367370953;14.823886609188
Alledal, Halland;56.715590242799;13.195795603606;94020;7433262;Alledal;56.715463752596;13.196180282311
Allmogevägen;56.842279308671;14.800547070982;80011;7434790;Allmogevägen;56.842279389412;14.800547309934
Alsterbro;56.941856628831;15.91449913286;92004;7414082;Alsterbro centrum;56.942826386763;15.914650120783
Alsterfors, Uppvidinge;56.957868071154;15.604147046282;60032;7437064;Alsterfors;56.957868130447;15.604147341726
Alstermo skola;56.971488595477;15.660897745893;60111;7400091;Alstermo Värdshuset;56.97363330465;15.659574234545
Alstermo terminal;56.974976545886;15.649143290179;60110;7450561;Alstermo terminal;56.97497660516;15.649143588919
Alstermo, Larmgatan;56.975146803456;15.656164104758;60040;7424759;Alstermo Larmgatan;56.975146862639;15.656164403879
Altona;56.695839719102;14.799460676742;80314;7435519;Altona;56.695839793006;14.799460890865
Alvesta Folkets hus;56.900746475679;14.553462656037;64149;7420362;Alvesta Folkets hus;56.900764526956;14.553462292577
Alvesta Kyrka;56.900741110949;14.564623474665;64137;7424690;Alvesta kyrka;56.900758998656;14.564606709716
Alvesta resecentrum;56.898887251946;14.556134393695;64204;7400004;Alvesta station;56.898776091892;14.557582590554
Amundgård;57.000091623276;14.677069544956;80447;7435280;Amundgård;57.00009171417;14.677069804764
Amundshylte;56.51595150877;14.574228538524;65031;7437288;Amundshylte;56.51595158424;14.574228698678
Andersgård;56.659899866012;14.84978117306;80390;7435387;Andersgård;56.65989993514;14.849781384798
Anderslund;56.415553110242;14.660013837426;63367;7436539;Anderslund;56.415553171578;14.660013984299
Anebodavägen;57.134319234774;14.614586014747;80425;7435322;Anebodavägen;57.134319329424;14.614586295336
Angelstad, Nyhemsvägen;56.829899238102;13.75881675507;81251;7410025;Angelstad Nyhemsvägen;56.82990836507;13.758816459641
Anna Trolles väg;56.886487811896;14.82045782756;80101;7434929;Anna Trolles väg;56.886487893222;14.820458074624
Annae Gärde;56.873029453334;14.819762431421;80023;7434805;Annae Gärde;56.873029145798;14.819713486629
Annerstad östra;56.755470341467;13.724622389341;81276;7424712;Annerstad östra;56.755470496469;13.7246225601
Annerstad västra;56.756164705649;13.706040368315;81275;7424713;Annerstad västra;56.75616486241;13.70604053869
Antons väg;56.894135232098;14.801910893818;80111;7434947;Antons väg;56.894135314543;14.801911141207
Apelholm;56.793729732402;14.427430173005;64067;7435771;Apelholm;56.793729832628;14.427430383313
Aplamon;56.795805300872;14.420217902643;64068;7435769;Aplamon;56.795805401635;14.420218113038
Arabygatan;56.888081482547;14.781893156986;80124;7425860;Växjö Arabygatan;56.888157024315;14.782334318064
Arebro;57.004906941668;15.16320197775;80488;7435208;Arebro;57.004907012977;15.163202255793
Arenastaden norra;56.882995538547;14.772813007948;80151;7435017;Enator;56.882995622049;14.772813252155
Arenastaden södra;56.878881152623;14.77701079976;80523;7445052;Arenastaden södra;56.878899057829;14.776994151072
Aringsbergsvägen;56.896501691659;14.56729139861;64133;7435665;Aringsbergsvägen;56.896501786371;14.567291636078
Aritsbomåla;56.504385721019;15.10241891623;63312;7436636;Aritsbomåla;56.504385766031;15.102419126617
