gtfsid,scbid,zip,city
7400001,0180,11164,Stockholm
7400002,1480,41103,Göteborg
7400003,1280,21120,Malmö
7400004,0764,34230,Alvesta
7400005,0380,75321,Uppsala
7400006,1293,28131,Hässleholm
7400007,0581,60222,Norrköping
7400008,1496,54130,Skövde
7400009,0580,58222,Linköping
7400011,1214,26020,Teckomatorp
7400012,1487,46830,Vargön
7400014,1415,44440,Stenungsund
7400015,0560,59013,Boxholm
7400016,1470,53431,Vara
7400017,1080,37023,Hasslö
7400018,1489,44130,Alingsås
7400019,2029,79330,Leksand
7400020,0880,39232,Kalmar
7400021,1315,31495,Kinnared
7400022,1275,28432,Perstorp
7400023,1785,66130,Säffle
7400024,2061,77760,Söderbärke
7400025,2321,83019,Storlien
7400026,2082,78335,Säter
7400027,0191,19540,Märsta
7400028,1286,27142,Ystad
7400029,1273,28070,Lönsboda
7400030,2080,79131,Falun
7400031,0126,14151,Huddinge
7400032,2305,84060,Bräcke
7400033,0862,36194,Eriksmåla
7400034,0682,57178,Forserum
7400035,1495,53272,Axvall
7400036,1499,52040,Floby
7400037,2321,83015,Duved
7400038,1482,44030,Marstrand
7400039,1461,46430,Mellerud
7400040,1466,52430,Herrljunga
7400041,0687,57333,Tranås
7400042,2083,77635,Hedemora
7400043,2283,88130,Sollefteå
7400044,1283,25224,Helsingborg
7400045,0765,34330,Älmhult
7400046,1907,73060,Ramnäs
7400048,1730,67332,Charlottenberg
7400049,0181,15138,Södertälje
7400050,0480,61130,Nyköping
7400051,2062,79290,Sollerön
7400052,0683,33130,Värnamo
7400053,2482,93132,Skellefteå
7400054,1430,45053,Hällevadsholm
7400055,0181,15138,Södertälje
7400056,1486,45297,Strömstad
7400057,1380,30265,Halmstad
7400058,1381,31234,Laholm
7400059,2584,98193,Björkliden
7400060,1499,52133,Falköping
7400061,1278,26936,Båstad
7400062,2061,77734,Smedjebacken
7400063,2321,83015,Duved
7400064,1292,26263,Ängelholm
7400065,1430,45052,Dingle
7400066,1440,44944,Nol
7400067,0486,64792,Mariefred
7400069,1081,37237,Ronneby
7400070,1780,65225,Karlstad
7400071,1447,54874,Gårdsjö
7400072,0381,74537,Enköping
7400073,1082,37439,Karlshamn
7400074,2481,92040,Kristineberg
7400075,1486,45260,Skee
7400076,1492,66230,Åmål
7400077,1861,69431,Hallsberg
7400078,0684,57631,Sävsjö
7400079,1083,29431,Sölvesborg
7400080,1380,30245,Halmstad
7400081,1440,44931,Nödinge
7400082,0883,59331,Västervik
7400083,1470,53496,Håkantorp
7400084,0686,57531,Eksjö
7400085,2482,93232,Skelleftehamn
7400086,0685,57432,Vetlanda
7400087,1430,45531,Munkedal
7400089,0662,33027,Hestra
7400090,0680,55315,Jönköping
7400091,0760,36075,Alstermo
7400092,1384,43930,Onsala
7400093,1885,71131,Lindesberg
7400094,1491,52330,Ulricehamn
7400095,1486,45231,Strömstad
7400096,0862,36130,Emmaboda
7400097,2029,79370,Tällberg
7400098,1485,45930,Ljungskile
7400099,1980,72130,Västerås
7400100,1452,51442,Limmared
7400102,1260,26734,Bjuv
7400103,0780,36044,Ingelstad
7400104,1081,37252,Kallinge
7400105,2260,84133,Ånge
7400106,0761,36052,Kosta
7400107,1444,46730,Grästorp
7400108,0486,64532,Strängnäs
7400109,1490,51333,Fristad
7400110,1383,43241,Varberg
7400111,2084,77551,Krylbo
7400112,0617,33530,Gnosjö
7400113,1489,46630,Sollebrunn
7400114,2584,98107,Abisko
7400115,2321,83013,Åre
7400116,1315,31494,Landeryd
7400117,0760,36073,Lenhovda
7400118,1484,45333,Lysekil
7400119,1485,45150,Uddevalla
7400120,1281,22221,Lund
7400121,1276,26438,Klippan
7400122,0764,34261,Moheda
7400123,2380,83133,Östersund
7400124,0760,36071,Norrhult
7400126,2321,83005,Järpen
7400127,1763,66930,Deje
7400128,2183,82143,Bollnäs
7400129,1862,69332,Degerfors
7400130,2281,85229,Sundsvall
7400131,0780,36040,Rottne
7400132,1402,43331,Partille
7400133,1880,70361,Örebro
7400134,0763,36010,Ryd
7400135,1982,73790,Ångelsberg
7400136,0767,28731,Strömsnäsbruk
7400137,2584,98195,Kiruna
7400138,1264,27434,Skurup
7400140,0682,57131,Nässjö
7400141,1272,29534,Bromölla
7400142,2321,83010,Undersåker
7400143,1490,51370,Borgstena
7400144,2580,97234,Luleå
7400145,0764,34251,Vislanda
7400146,2161,82040,Järvsö
7400147,2309,83044,Nälden
7400148,1494,53140,Lidköping
7400149,0140,15530,Nykvarn
7400150,2582,96161,Boden
