slid,gtfsid,gtfsnamn,stationsnamn,pageurl,mapurl
9110,7421689,Abrahamsberg T-bana,Abrahamsberg,http://www.mtr.se/mtr-tunnelbanan/stationer/abrahamsberg/,http://mtrgw.snowfall.se/latest/maps/overview/9110.jpg
9300,7421677,Akalla T-bana,Akalla,http://www.mtr.se/mtr-tunnelbanan/stationer/akalla/,http://mtrgw.snowfall.se/latest/maps/overview/9300.jpg
9282,7421731,Alby T-bana,Alby,http://www.mtr.se/mtr-tunnelbanan/stationer/alby/,http://mtrgw.snowfall.se/latest/maps/overview/9282.jpg
9112,7420755,Alvik T-bana,Alvik,http://www.mtr.se/mtr-tunnelbanan/stationer/alvik/,http://mtrgw.snowfall.se/latest/maps/overview/9112.jpg
9293,7421720,Aspudden T-bana,Aspudden,http://www.mtr.se/mtr-tunnelbanan/stationer/aspudden/,http://mtrgw.snowfall.se/latest/maps/overview/9293.jpg
9291,7421722,Axelsberg T-bana,Axelsberg,http://www.mtr.se/mtr-tunnelbanan/stationer/axelsberg/,http://mtrgw.snowfall.se/latest/maps/overview/9291.jpg
9141,7421692,Bagarmossen T-bana,Bagarmossen,http://www.mtr.se/mtr-tunnelbanan/stationer/bagarmossen/,http://mtrgw.snowfall.se/latest/maps/overview/9141.jpg
9163,7421711,Bandhagen T-bana,Bandhagen,http://www.mtr.se/mtr-tunnelbanan/stationer/bandhagen/,http://mtrgw.snowfall.se/latest/maps/overview/9163.jpg
9202,7421644,Bergshamra T-bana,Bergshamra,http://www.mtr.se/mtr-tunnelbanan/stationer/bergshamra/,http://mtrgw.snowfall.se/latest/maps/overview/9202.jpg
9143,7421694,Björkhagen T-bana,Björkhagen,http://www.mtr.se/mtr-tunnelbanan/stationer/bjorkhagen/,http://mtrgw.snowfall.se/latest/maps/overview/9143.jpg
9105,7421685,Blackeberg T-bana,Blackeberg,http://www.mtr.se/mtr-tunnelbanan/stationer/blackeberg/,http://mtrgw.snowfall.se/latest/maps/overview/9105.jpg
9187,7421703,Blåsut T-bana,Blåsut,http://www.mtr.se/mtr-tunnelbanan/stationer/blasut/,http://mtrgw.snowfall.se/latest/maps/overview/9187.jpg
9289,7421724,Bredäng T-bana,Bredäng,http://www.mtr.se/mtr-tunnelbanan/stationer/bredang/,http://mtrgw.snowfall.se/latest/maps/overview/9289.jpg
9109,7420581,Brommaplan T-bana,Brommaplan,http://www.mtr.se/mtr-tunnelbanan/stationer/brommaplan/,http://mtrgw.snowfall.se/latest/maps/overview/9109.jpg
9201,7410232,Danderyd sjukhus T-bana,Danderyds sjukhus,http://www.mtr.se/mtr-tunnelbanan/stationer/danderyds-sjukhus/,http://mtrgw.snowfall.se/latest/maps/overview/9201.jpg
9324,7421673,Duvbo T-bana,Duvbo,http://www.mtr.se/mtr-tunnelbanan/stationer/duvbo/,http://mtrgw.snowfall.se/latest/maps/overview/9324.jpg
9167,7421707,Enskede Gård T-bana,Enskede gård,http://www.mtr.se/mtr-tunnelbanan/stationer/enskede-gard/,http://mtrgw.snowfall.se/latest/maps/overview/9167.jpg
9181,7421696,Farsta Strand T-bana,Farsta,http://www.mtr.se/mtr-tunnelbanan/stationer/farsta/,http://mtrgw.snowfall.se/latest/maps/overview/9181.jpg
9180,7421697,Farsta T-bana,Farsta Strand,http://www.mtr.se/mtr-tunnelbanan/stationer/farsta-strand/,http://mtrgw.snowfall.se/latest/maps/overview/9180.jpg
9283,7421730,Fittja T-bana,Fittja,http://www.mtr.se/mtr-tunnelbanan/stationer/fittja/,http://mtrgw.snowfall.se/latest/maps/overview/9283.jpg
9115,7421661,Fridhemsplan T-bana,Fridhemsplan,http://www.mtr.se/mtr-tunnelbanan/stationer/fridhemsplan/,http://mtrgw.snowfall.se/latest/maps/overview/9115.jpg
9260,7421719,Fruängen T-bana,Fruängen,http://www.mtr.se/mtr-tunnelbanan/stationer/fruangen/,http://mtrgw.snowfall.se/latest/maps/overview/9260.jpg
9193,7421653,Gamla Stan T-bana,Gamla stan,http://www.mtr.se/mtr-tunnelbanan/stationer/gamla-stan/,http://mtrgw.snowfall.se/latest/maps/overview/9193.jpg
9168,7421706,Globen T-bana,Globen,http://www.mtr.se/mtr-tunnelbanan/stationer/globen/,http://mtrgw.snowfall.se/latest/maps/overview/9168.jpg
9183,7421699,Gubbängen T-bana,Gubbängen,http://www.mtr.se/mtr-tunnelbanan/stationer/gubbangen/,http://mtrgw.snowfall.se/latest/maps/overview/9183.jpg
9189,7421705,Gullmarsplan T-bana,Gullmarsplan,http://www.mtr.se/mtr-tunnelbanan/stationer/gullmarsplan/,http://mtrgw.snowfall.se/latest/maps/overview/9189.jpg
9221,7421649,Gärdet T-bana,Gärdet,http://www.mtr.se/mtr-tunnelbanan/stationer/gardet/,http://mtrgw.snowfall.se/latest/maps/overview/9221.jpg
9160,7421714,Hagsätra T-bana,Hagsätra,http://www.mtr.se/mtr-tunnelbanan/stationer/hagsatra/,http://mtrgw.snowfall.se/latest/maps/overview/9160.jpg
9303,7421675,Hallonbergen T-bana,Hallonbergen,http://www.mtr.se/mtr-tunnelbanan/stationer/hallonbergen/,http://mtrgw.snowfall.se/latest/maps/overview/9303.jpg
9281,7421732,Hallunda T-bana,Hallunda,http://www.mtr.se/mtr-tunnelbanan/stationer/hallunda/,http://mtrgw.snowfall.se/latest/maps/overview/9281.jpg
9144,7421695,Hammarbyhöjden T-bana,Hammarbyhöjden,http://www.mtr.se/mtr-tunnelbanan/stationer/hammarbyhojden/,http://mtrgw.snowfall.se/latest/maps/overview/9144.jpg
9320,7421678,Hjulsta T-bana,Hjulsta,http://www.mtr.se/mtr-tunnelbanan/stationer/hjulsta/,http://mtrgw.snowfall.se/latest/maps/overview/9320.jpg
9295,7421658,Hornstull T-bana,Hornstull,http://www.mtr.se/mtr-tunnelbanan/stationer/hornstull/,http://mtrgw.snowfall.se/latest/maps/overview/9295.jpg
9301,7421676,Husby T-bana,Husby,http://www.mtr.se/mtr-tunnelbanan/stationer/husby/,http://mtrgw.snowfall.se/latest/maps/overview/9301.jpg
9327,7421670,Huvudsta T-bana,Huvudsta,http://www.mtr.se/mtr-tunnelbanan/stationer/huvudsta/,http://mtrgw.snowfall.se/latest/maps/overview/9327.jpg
9262,7421717,Hägerstensåsen T-bana,Hägerstensåsen,http://www.mtr.se/mtr-tunnelbanan/stationer/hagerstensasen/,http://mtrgw.snowfall.se/latest/maps/overview/9262.jpg
9101,7421681,Hässelby Gård T-bana,Hässelby gård,http://www.mtr.se/mtr-tunnelbanan/stationer/hasselby-gard/,http://mtrgw.snowfall.se/latest/maps/overview/9101.jpg
9100,7421680,Hässelby Strand T-bana,Hässelby strand,http://www.mtr.se/mtr-tunnelbanan/stationer/hasselby-strand/,http://mtrgw.snowfall.se/latest/maps/overview/9100.jpg
9162,7421712,Högdalen T-bana,Högdalen,http://www.mtr.se/mtr-tunnelbanan/stationer/hogdalen/,http://mtrgw.snowfall.se/latest/maps/overview/9162.jpg
8420,7421698,Hökarängen T-bana,Hökarängen,http://www.mtr.se/mtr-tunnelbanan/stationer/hokarangen/,http://mtrgw.snowfall.se/latest/maps/overview/8420.jpg
7176,7421667,Hötorget T-bana,Hötorget,http://www.mtr.se/mtr-tunnelbanan/stationer/hotorget/,http://mtrgw.snowfall.se/latest/maps/overview/7176.jpg
9106,7421686,Islandstorget T-bana,Islandstorget,http://www.mtr.se/mtr-tunnelbanan/stationer/islandstorget/,http://mtrgw.snowfall.se/latest/maps/overview/9106.jpg
9102,7421682,Johannelund T-bana,Johannelund,http://www.mtr.se/mtr-tunnelbanan/stationer/johannelund/,http://mtrgw.snowfall.se/latest/maps/overview/9102.jpg
9222,7421650,Karlaplan T-bana,Karlaplan,http://www.mtr.se/mtr-tunnelbanan/stationer/karlaplan/,http://mtrgw.snowfall.se/latest/maps/overview/9222.jpg
9302,7412883,Kista T-bana,Kista,http://www.mtr.se/mtr-tunnelbanan/stationer/kista/,http://mtrgw.snowfall.se/latest/maps/overview/9302.jpg
9113,7421663,Kristineberg T-bana,Kristineberg,http://www.mtr.se/mtr-tunnelbanan/stationer/kristineberg/,http://mtrgw.snowfall.se/latest/maps/overview/9113.jpg
9340,7421659,Kungsträdgården T-bana,Kungsträdgården,http://www.mtr.se/mtr-tunnelbanan/stationer/kungstradgarden/,http://mtrgw.snowfall.se/latest/maps/overview/9340.jpg
9142,7421693,Kärrtorp T-bana,Kärrtorp,http://www.mtr.se/mtr-tunnelbanan/stationer/karrtorp/,http://mtrgw.snowfall.se/latest/maps/overview/9142.jpg
9294,7404046,Liljeholmen T-bana,Liljeholmen,http://www.mtr.se/mtr-tunnelbanan/stationer/liljeholmen/,http://mtrgw.snowfall.se/latest/maps/overview/9294.jpg
9297,7421656,Mariatorget T-bana,Mariatorget,http://www.mtr.se/mtr-tunnelbanan/stationer/mariatorget/,http://mtrgw.snowfall.se/latest/maps/overview/9297.jpg
9284,7421729,Masmo T-bana,Masmo,http://www.mtr.se/mtr-tunnelbanan/stationer/masmo/,http://mtrgw.snowfall.se/latest/maps/overview/9284.jpg
9191,7421654,Medborgarplatsen T-bana,Medborgarplatsen,http://www.mtr.se/mtr-tunnelbanan/stationer/medborgarplatsen/,http://mtrgw.snowfall.se/latest/maps/overview/9191.jpg
9264,7421715,Midsommarkransen T-bana,Midsommarkransen,http://www.mtr.se/mtr-tunnelbanan/stationer/midsommarkransen/,http://mtrgw.snowfall.se/latest/maps/overview/9264.jpg
9290,7421723,Mälarhöjden T-bana,Mälarhöjden,http://www.mtr.se/mtr-tunnelbanan/stationer/malarhojden/,http://mtrgw.snowfall.se/latest/maps/overview/9290.jpg
9200,7400716,Mörby centrum T-bana,Mörby centrum,http://www.mtr.se/mtr-tunnelbanan/stationer/morby-centrum/,http://mtrgw.snowfall.se/latest/maps/overview/9200.jpg
9280,7421733,Norsborg T-bana,Norsborg,http://www.mtr.se/mtr-tunnelbanan/stationer/norsborg/,http://mtrgw.snowfall.se/latest/maps/overview/9280.jpg
9304,7421668,Näckrosen T-bana,Näckrosen,http://www.mtr.se/mtr-tunnelbanan/stationer/nackrosen/,http://mtrgw.snowfall.se/latest/maps/overview/9304.jpg
9117,7421013,Odenplan T-bana,Odenplan,http://www.mtr.se/mtr-tunnelbanan/stationer/odenplan/,http://mtrgw.snowfall.se/latest/maps/overview/9117.jpg
9322,7421679,Rinkeby T-bana,Rinkeby,http://www.mtr.se/mtr-tunnelbanan/stationer/rinkeby/,http://mtrgw.snowfall.se/latest/maps/overview/9322.jpg
9323,7421674,Rissne T-bana,Rissne,http://www.mtr.se/mtr-tunnelbanan/stationer/rissne/,http://mtrgw.snowfall.se/latest/maps/overview/9323.jpg
9220,7420757,Ropsten T-bana,Ropsten,http://www.mtr.se/mtr-tunnelbanan/stationer/ropsten/,http://mtrgw.snowfall.se/latest/maps/overview/9220.jpg
9104,7421684,Råcksta T-bana,Råcksta,http://www.mtr.se/mtr-tunnelbanan/stationer/racksta/,http://mtrgw.snowfall.se/latest/maps/overview/9104.jpg
9309,7421660,Rådhuset T-bana,Rådhuset,http://www.mtr.se/mtr-tunnelbanan/stationer/radhuset/,http://mtrgw.snowfall.se/latest/maps/overview/9309.jpg
9118,7421666,Rådmansgatan T-bana,Rådmansgatan,http://www.mtr.se/mtr-tunnelbanan/stationer/radmansgatan/,http://mtrgw.snowfall.se/latest/maps/overview/9118.jpg
9161,7421713,Rågsved T-bana,Rågsved,http://www.mtr.se/mtr-tunnelbanan/stationer/ragsved/,http://mtrgw.snowfall.se/latest/maps/overview/9161.jpg
9116,7421665,S:t Eriksplan T-bana,S:t Eriksplan,http://www.mtr.se/mtr-tunnelbanan/stationer/st-eriksplan/,http://mtrgw.snowfall.se/latest/maps/overview/9116.jpg
9186,7421702,Sandsborg T-bana,Sandsborg,http://www.mtr.se/mtr-tunnelbanan/stationer/sandsborg/,http://mtrgw.snowfall.se/latest/maps/overview/9186.jpg
9190,7421655,Skanstull T-bana,Skanstull,http://www.mtr.se/mtr-tunnelbanan/stationer/skanstull/,http://mtrgw.snowfall.se/latest/maps/overview/9190.jpg
9140,7421691,Skarpnäck T-bana,Skarpnäck,http://www.mtr.se/mtr-tunnelbanan/stationer/skarpnack/,http://mtrgw.snowfall.se/latest/maps/overview/9140.jpg
9185,7421701,Skogskyrkogården T-bana,Skogskyrkogården,http://www.mtr.se/mtr-tunnelbanan/stationer/skogskyrkogarden/,http://mtrgw.snowfall.se/latest/maps/overview/9185.jpg
9287,7421726,Skärholmen T-bana,Skärholmen,http://www.mtr.se/mtr-tunnelbanan/stationer/skarholmen/,http://mtrgw.snowfall.se/latest/maps/overview/9287.jpg
9188,7421704,Skärmarbrink T-bana,Skärmarbrink,http://www.mtr.se/mtr-tunnelbanan/stationer/skarmarbrink/,http://mtrgw.snowfall.se/latest/maps/overview/9188.jpg
9192,7420101,Slussen T-bana,Slussen,http://www.mtr.se/mtr-tunnelbanan/stationer/slussen/,http://mtrgw.snowfall.se/latest/maps/overview/9192.jpg
9166,7421708,Sockenplan T-bana,Sockenplan,http://www.mtr.se/mtr-tunnelbanan/stationer/sockenplan/,http://mtrgw.snowfall.se/latest/maps/overview/9166.jpg
9305,7421642,Solna centrum T-bana,Solna centrum,http://www.mtr.se/mtr-tunnelbanan/stationer/solna-centrum/,http://mtrgw.snowfall.se/latest/maps/overview/9305.jpg
9326,7421671,Solna strand T-bana,Solna strand,http://www.mtr.se/mtr-tunnelbanan/stationer/solna_strand/,http://mtrgw.snowfall.se/latest/maps/overview/9326.jpg
9205,7421647,Stadion T-bana,Stadion,http://www.mtr.se/mtr-tunnelbanan/stationer/stadion/,http://mtrgw.snowfall.se/latest/maps/overview/9205.jpg
9307,7421662,Stadshagen T-bana,Stadshagen,http://www.mtr.se/mtr-tunnelbanan/stationer/stadshagen/,http://mtrgw.snowfall.se/latest/maps/overview/9307.jpg
9111,7421690,Stora Mossen T-bana,Stora mossen,http://www.mtr.se/mtr-tunnelbanan/stationer/stora-mossen/,http://mtrgw.snowfall.se/latest/maps/overview/9111.jpg
9164,7421710,Stureby T-bana,Stureby,http://www.mtr.se/mtr-tunnelbanan/stationer/stureby/,http://mtrgw.snowfall.se/latest/maps/overview/9164.jpg
9325,7421672,Sundbyberg centrum T-bana,Sundbybergs centrum,http://www.mtr.se/mtr-tunnelbanan/stationer/sundbybergs-centrum/,http://mtrgw.snowfall.se/latest/maps/overview/9325.jpg
9165,7421709,Svedmyra T-bana,Svedmyra,http://www.mtr.se/mtr-tunnelbanan/stationer/svedmyra/,http://mtrgw.snowfall.se/latest/maps/overview/9165.jpg
2460,7421725,Sätra T-bana,Sätra,http://www.mtr.se/mtr-tunnelbanan/stationer/satra/,http://mtrgw.snowfall.se/latest/maps/overview/2460.jpg
9184,7420749,T-Centralen T-bana,Tallkrogen,http://www.mtr.se/mtr-tunnelbanan/stationer/tallkrogen/,http://mtrgw.snowfall.se/latest/maps/overview/9184.jpg
9001,7421700,Tallkrogen T-bana,T-Centralen,http://www.mtr.se/mtr-tunnelbanan/stationer/t-centralen/,http://mtrgw.snowfall.se/latest/maps/overview/9001.jpg
9204,7411606,Tekniska Högskolan T-bana,Tekniska högskolan,http://www.mtr.se/mtr-tunnelbanan/stationer/tekniska-hogskolan/,http://mtrgw.snowfall.se/latest/maps/overview/9204.jpg
