name;lat;lon;id;gtfsid;gtfsname;gtfslat;gtfslon
Aneby Resecentrum;57.837687825327;14.812058449326;5051;7400379;Aneby station;57.836232512026;14.810819417542
Augumentet;58.241819097492;15.082908521258;1825;7454676;Augumentet;58.241819117714;15.082908887116
Bjurdalsvägen;58.191959278862;15.057533748188;1834;7454685;Bjurdalsvägen;58.191959304258;15.057534114572
Bleckenstad;58.275608280905;15.096365283667;1822;7454673;Bleckenstad;58.275608297576;15.09636564929
Boxholm Centrum;58.197310759188;15.054530280949;3814;7420265;Boxholm centrum;58.197065190777;15.053991670164
Boxholms station;58.194441105736;15.055118005196;130;7400015;Boxholm station;58.193654294984;15.054148771207
Bärbäck;58.259814958041;15.085063126009;1823;7454674;Bärbäck;58.259814976418;15.085063492203
Dala;58.254491236737;15.083553148781;3813;7456349;Dala;58.254491255669;15.083553514954
Dalgårdsgatan;58.203275125659;15.054982559383;3731;7456299;Dalgårdsgatan;58.203275149971;15.054982926381
Grebo;58.189520924608;15.034054869717;1838;7454688;Grebo;58.189520950479;15.034055237973
Grebo industriområde;58.191004547966;15.034413741634;1839;7454689;Grebo industriområde;58.191004573688;15.034414109916
Hester;58.157124239061;14.996062304165;1843;7454693;Hester;58.157124268496;14.99606267425
Hjortstigen;58.189650786202;15.058891419839;1833;7454684;Hjortstigen;58.18965081181;15.058891786028
Höjden;58.1723660392;15.009718313388;1841;7454691;Höjden;58.172366067006;15.009718682993
Ingmarstorp;58.23930444266;15.087556544644;1826;7454677;Ingmarstorp;58.239304463097;15.087556910023
Kullen Strålsnäs;58.227692958549;15.076047679836;1821;7454672;Kullen Strålsnäs;58.227692980247;15.076048045852
Lagnebrunna;58.179594834802;15.020026726999;1840;7454690;Lagnebrunna;58.179594861791;15.02002709604
Lindstigen;58.204745138185;15.057621905358;3730;7456298;Lindstigen;58.204745162327;15.057622272184
Linneberg;58.222885301499;15.072181347542;1828;7454679;Linneberg;58.222885323711;15.072181713736
Långliden;58.167266006112;15.005380677281;1842;7454692;Långliden;58.167266034461;15.005381047032
Parketten Boxholm;58.200452032857;15.054327873587;4053;7456479;Parketten Boxholm;58.200452057453;15.054328240541
Rävtomta;58.212574359948;15.069978368312;1829;7454680;Rävtomta;58.212574383203;15.069978734358
Stenbocksskolan;58.201752434025;15.051034977117;1835;7454686;Stenbocksskolan;58.201752458525;15.051035344394
Strålsnäs station;58.234485994739;15.089679722684;129;7411514;Strålsnäs station;58.236139517204;15.093153645366
Söderleden;58.192889205888;15.059945639118;1832;7454683;Söderleden;58.192889231169;15.059946005334
Tempelberget;58.229605624014;15.079242317771;1827;7454678;Tempelberget;58.229605645493;15.079242683573
Tjädervägen;58.20322549081;15.061837865439;3729;7456297;Tjädervägen;58.203225515061;15.061838231858
Viken;58.150404792672;14.984292920199;1844;7454694;Viken;58.150404822895;14.984293290949
Älvkullevägen;58.195874505066;15.050020390805;1837;7420821;Boxholm Älvkullevägen;58.195556796719;15.049432353366
Öringe;58.249030991425;15.083306619104;1824;7454675;Öringe;58.249031010915;15.08330698514
Dackestigen Jönköpings län;57.674707810696;14.966242340916;3962;7440331;Eksjö Dackestigen;57.674743677469;14.966225094576
Eksjö station;57.664113492458;14.97595392076;406;7400084;Eksjö station;57.663797461758;14.975676649099
Havsjömålen Jönköpings län;57.719560165505;15.012323784202;3957;7440422;Havsjömålen;57.719632051966;15.01232255489
Husartorpet Jönköpings län;57.67715910407;14.959497937472;4543;7440405;Eksjö Husartorpet;57.677159170472;14.959498279585
Högaskog Jönköpings län;57.715052588692;15.005190889264;3958;7440421;Högaskog;57.715152682677;15.005390366841
Höglandssjukhsuet Jönköpings län;57.665974410637;14.966762620914;3774;7425017;Eksjö Höglandssjukhuset;57.665948321749;14.966880858105
Katrineholm Jönköpings län;57.707113798911;14.995133484492;3959;7440420;Katrineholm;57.707194234391;14.995064930579
Konsum Eksjö;57.663956018306;14.972489220954;3966;7440351;Eksjö Konsum;57.663920725309;14.972574148068
Kålshester Jönköpings län;57.734474007299;15.054922839009;3967;7410870;Kålshester;57.734646243469;15.055188213425
Lunnatorp Jönköpings län;57.68840822368;14.955194874138;3961;7425560;Eksjö Lunnatorp;57.688389995679;14.955145347093
Måletorpet Jököpings län;57.755045006428;15.090576054787;3955;7440949;Måletorpet;57.755099028932;15.090592127693
Prästängsskolan;57.66643706482;14.981128757555;3425;7440333;Eksjö Prästängsskolan;57.666920714687;14.982307821448
Regementsgatan Eksjö;57.671240465948;14.971467358534;3402;7440330;Eksjö Tullen;57.671445823273;14.969921198032
Slättna Jönköpings län;57.69772949171;14.990781636388;3960;7440419;Slättna;57.698072121716;14.990992301231
Stattdal Jönköpings län;57.726113983383;15.020807077506;3956;7440414;Stattdal;57.726104755526;15.020757271165
Stora Torget Eksjö;57.6666484316;14.970919369944;4211;7440332;Eksjö Stora torget;57.666693277341;14.970901924932
Svällebäcken;57.693965479008;14.973963156351;3990;7440424;Svällebäcken;57.694065403332;14.974128898978
Södra Kyrkogatan Eksjö;57.667123865287;14.973572727096;3963;7404061;Eksjö Södra Kyrkogatan;57.66720396146;14.973453937802
Tullen Jönköpings län;57.672037301126;14.968398945751;3969;7440330;Eksjö Tullen;57.671445823273;14.969921198032
Anderslund;58.862149663394;15.691316070874;2056;7454889;Anderslund;58.86214961325;15.691316365241
Asketorp Vk;58.867830032519;15.688870709474;2057;7454890;Asketorps vägskäl;58.867829981594;15.68887100384
Bangrindarna;58.719728507738;15.644635306304;1560;7423314;Sonstorp Bangrindarna;58.719728475195;15.644635612709
Barketorp;58.77190877776;15.591796109661;1584;7454454;Barketorp;58.771908738059;15.591796419947
Bergska skolan;58.707164828973;15.764080376362;1174;7454088;Bergska skolan;58.70716479943;15.764080670115
Bergslagstorget;58.707939869518;15.774465628572;1166;7420359;Finspång Bergslagstorget;58.707939840019;15.774465921152
Björke vägskäl;58.842425237885;15.700075875664;2051;7454884;Björke vägskäl;58.842425190443;15.700076170002
Blåsarevägen;58.835309731189;15.919024717086;2150;7454976;Blåsarevägen;58.835309688077;15.919024986212
Bogetorp Hällestad;58.737724862806;15.577260013295;1569;7454441;Bogetorp Hällestad;58.737724827286;15.577260326596
Borggård Station;58.731488436402;15.550161148838;92;7410145;Borggård station;58.730693748381;15.547836644976
Borggårds Bruk;58.72964161224;15.551434962992;1568;7423378;Borggård Bruk;58.729667552798;15.550951707861
Borggårds Vägkors;58.731982280295;15.573896587664;1565;7423296;Borggård vägskäl;58.731728383764;15.572517422718
Bruket;58.804010184229;15.560716589221;1594;7454464;Bruket;58.804010140046;15.56071690184
Butbro vägkors;58.716774578788;15.834029339494;156;7424828;Butbro vägskäl;58.716774549046;15.834029625117
Bygatan;58.734991582053;15.823131604797;2044;7454877;Bygatan;58.734991549933;15.823131890647
Bäcken;58.747065609485;15.606837759824;1573;7454445;Bäcken;58.747065573103;15.606838069386
Bäcktorpet;58.79706246639;15.739201973624;4096;7456516;Bäcktorpet;58.797062425329;15.739202265707
Bävervägen;58.704558363478;15.821926580576;3432;7456084;Bävervägen;58.70455833504;15.821926868157
Börgöl;58.803880894581;15.731369028706;2047;7454880;Börgöl;58.803880852543;15.731369321346
Dalhem Sonstorp;58.726670853631;15.626426117019;3683;7456262;Dalhem Sonstorp;58.726670820021;15.626426425185
Djupdalsvägen;58.708347532664;15.79827440694;1169;7454084;Djupdalsvägen;58.708347503437;15.7982746969
Djupedal;58.729829511955;15.585132344614;1564;7454438;Djupedal;58.729829477509;15.58513265732
Doverstorp;58.649392466647;15.816218006574;68;7410247;Doverstorp;58.648835786532;15.8168898612
Doversund;58.645584652416;15.858807021964;2074;7454902;Doversund;58.645584631495;15.858807308664
Dunderbacken;58.709703283411;15.811024563199;1298;7454205;Dunderbacken;58.709703254198;15.811024851701
Dunderbacksvägen;58.710780297729;15.815942159403;1297;7454204;Dunderbacksvägen;58.710780268454;15.815942447313
Ekkällevägen;58.705115718356;15.799206724941;1188;7454100;Ekkällevägen;58.705115689534;15.799207014963
Ekviken;58.700058162371;15.894783970021;1199;7454111;Ekviken;58.700058135548;15.894784249983
Eliantorp;58.6569608355;15.803178833983;1467;7454358;Eliantorp;58.656960812485;15.803179125953
Eriksberg Igelfors;58.855526199527;15.693261230515;2055;7454888;Eriksberg Igelfors;58.85552615028;15.693261524991
Erstorp Gård;58.672481434632;15.754367104526;1469;7454360;Erstorps gård;58.672481409145;15.754367400962
Erstorp Smedja;58.667223994548;15.763491014793;1468;7454359;Erstorps smedja;58.667223969804;15.763491310494
Fabriken Barketorp;58.767819969052;15.594742054749;1583;7454453;Fabriken Barketorp;58.767819929905;15.59474236486
Falla Folkets Hus;58.686547880469;15.751415011291;1471;7454361;Falla Folkets Hus;58.686547853257;15.751415307397
Falla Ribbvägen;58.683486499901;15.751247414089;1470;7410314;Falla Ribbvägen;58.683486473055;15.751247710354
Falla Sonstorp;58.719412978558;15.675080775307;1557;7423300;Falla (Sonstorp);58.719412946404;15.675081078327
Falsnäset;58.753782861923;15.979363256064;2142;7454970;Falsnäset;58.753782830005;15.97936352361
Filarevägen;58.710807002512;15.793960286384;1288;7454195;Filarevägen;58.710806972928;15.793960576691
Finspång Centrum;58.706475476936;15.770378220491;1165;7454081;Finspångs centrum;58.70647544756;15.770378513589
Finspång Station;58.706620748053;15.776813124523;36;7400352;Finspång busstation;58.706620718745;15.776813416911
Flasbjörke;58.78467692789;15.769208204494;159;7424827;Flasbjörke;58.787961293245;15.764968333597
Frängsätter;58.873178872583;15.876347774314;2154;7454980;Frängsätter;58.873178823876;15.876348046019
Fränntorp;58.719980773894;15.652711251618;1559;7454435;Fränntorp;58.719980741411;15.65271155711
Gamla Kyrkogården Finspång;58.832827459586;15.924124534783;2149;7454975;Gamla kyrkogården;58.832827416877;15.92412480348
Glasbruksvägen;58.8280749173;15.937162012698;2146;7454974;Glasbruksvägen;58.828074875422;15.937162280201
Gomma;58.655249204345;15.884730649233;162;7410446;Gomma;58.654269145512;15.887140418486
Gomma Skola;58.65746098289;15.879084863573;2071;7423302;Gomma skolan;58.65781355568;15.874572129086
Gomma vägkors;58.661754625504;15.854954567087;2070;7423303;Gomma vägskäl;58.66173655628;15.855196048149
Granliden Grytgöl;58.785645031832;15.592351190285;1586;7454456;Granliden Grytgöl;58.785644990377;15.59235149994
Gronvägen;58.712225985229;15.809368433182;1291;7454198;Gronvägen;58.712225955687;15.809368721734
Grostorps Gård;58.714056000171;15.825364749865;2038;7454872;Grostorps gård;58.714055970633;15.825365036577
Grosvadsskolan;58.713698316419;15.806124500515;3491;7456117;Grosvadsskolan;58.713698286653;15.806124789346
Grytgöls centrum;58.801898937773;15.555230266087;94;7420347;Grytgöl centrum;58.803465046479;15.557347200455
Grytgöls Skola;58.801336920361;15.571426385928;1592;7454462;Grytgöls skola;58.801336876644;15.57142669739
Grytgöls vägkors;58.724597002445;15.632926983157;1561;7411456;Sonstorp Grytgöls vägskäl;58.724641879112;15.632944328479
Gröna Vägen;58.710662815969;15.789163683027;1171;7454086;Gröna vägen;58.710662786337;15.789163973866
Göl Finspång;58.799878144001;15.573927222607;1591;7454461;Göl;58.799878100501;15.573927533834
Hembygdsgården Finspång;58.890268335756;15.693737570574;2060;7454893;Hembygdsgården Regna;58.890196389308;15.693651379222
Herrgården;58.80286493794;15.562748777156;1593;7454463;Herrgården;58.802864893928;15.562749089581
Hult Finspång;58.696849784722;15.848449510571;2064;7454895;Hult Finspång;58.696849757591;15.84844979569
Hushagen;58.808919192813;15.720249692305;2048;7454881;Hushagen;58.808919149977;15.72024998598
Huvklintsvägen Lotorp;58.736840969812;15.822752622385;157;7454877;Bygatan;58.734991549933;15.823131890647
Hårstorpsvägen;58.702476177134;15.816112362159;1191;7454103;Hårstorpsvägen;58.702476148865;15.816112650478
Hårtorp;58.823588113761;15.707784610907;2050;7454883;Hårtorp;58.823588068867;15.707784905295
Hälla Gård;58.816559092012;15.708012222377;2049;7454882;Hälla gård;58.816559048028;15.708012517094
Hällestad kyrka;58.742178680034;15.572826933245;93;7410657;Hällestad kyrka;58.742160626787;15.572792827986
Häradstorp;58.77157210484;15.96852799509;173;7410661;Häradstorp;58.771266690627;15.968647828575
Hävla Affär;58.915187088616;15.868292833808;175;7420344;Hävla affären;58.914908884802;15.867997555401
Hävla Gård;58.903045918692;15.857080378402;2155;7454981;Hävla gård;58.903045865755;15.857080650511
Högamon;58.782510343634;15.505955768444;2172;7454998;Högamon;58.78251030167;15.505956088356
Högby;58.707552116672;15.768117019891;1178;7454091;Högby;58.707552087135;15.768117313184
Högsäter;58.718797815144;15.688820613154;1556;7454433;Högsäter;58.71879778323;15.688820914671
Idrottsplatsen Borggård;58.728990294192;15.558103358005;1567;7454440;Idrottsplatsen Borggård;58.728990259577;15.558103673812
Igelfors Skola;58.845225238668;15.698993402044;160;7410698;Igelfors skolan;58.845368941101;15.699131820661
Ingelstad;58.691142422736;15.840768812424;2065;7454896;Ingelstad;58.691142396178;15.84076909867
Ingesgärde Regna;58.898569691339;15.690882914355;161;7424779;Regna Ingesgärde;58.899162219467;15.69098531988
Jerketorp;58.80846531978;15.940323757852;3949;7456428;Jerketorp;58.808465280426;15.940324026257
Knektvägen Finspång;58.703238969842;15.756443160391;4049;7456476;Knektvägen;58.703167067903;15.756305554255
Kolstad Finspång;58.675416676579;15.952206120171;1194;7454106;Kolstad Finspång;58.675416653579;15.952206395454
Kolstad Villa;58.680984971895;15.941920155896;1195;7454107;Kolstad villa;58.680984948074;15.941920431936
Komministergården Prästköp;58.764613890979;15.519744886044;2171;7454997;Komministergården Prästk;58.764613851459;15.519745204983
Komministergården Risinge;58.702735218333;15.82708358282;1203;7454115;Komministergården Rising;58.702735190188;15.827083869937
Kopparkullen;58.872630668655;15.686514261013;2058;7454891;Kopparkullen;58.872630617062;15.686514555413
Kvarnbacken Sonstorp;58.747931818648;15.62184273589;1576;7454447;Kvarnbacken Sonstorp;58.747931782324;15.621843043705
Laduvägen;58.709226912465;15.793287960339;3744;7456309;Laduvägen;58.709226883064;15.793288250799
Lasarettet Finspång;58.710243909453;15.76355903299;1179;7454092;Lasarettet;58.710351296085;15.762627479189
Lasarettsvägen Finspång;58.709156241372;15.759523067291;3687;7456264;Lasarettsvägen;58.709156211526;15.759523361448
Liljevägen;58.789123873177;15.493447569386;3679;7456259;Liljevägen;58.789123830231;15.49344789054
Lillsjötorp Finspång;58.702018286588;15.757083149415;4050;7456477;Lillsjötorp;58.701991312151;15.75704898244
