gtfsid,rt90-x,rt90-y
1000831,7330599.93,1880100.079
7400001,6580959.996,1628181.997
7400002,6404691.027,1271655.038
7400003,6168020.019,1323292.976
7400004,6308704.01,1423974.015
7400005,6639112.985,1603154.996
7400006,6227376.013,1373115.998
7400007,6497166.999,1521989.015
7400008,6475685.002,1385775.03
7400009,6477013,1489565.019
7400011,6196868.021,1329801.986
7400012,6475731.009,1300277.043
7400014,6445667.02,1265184.046
7400015,6452467.003,1455829.022
7400016,6463215.008,1332534.037
7400017,6220549.998,1479120.013
7400018,6427202.017,1306126.036
7400019,6735490.958,1456256.011
7400020,6281700.004,1534024.021
7400021,6325438.023,1336072.017
7400022,6225728.018,1350299.996
7400023,6560348.988,1334664.042
7400024,6661547.973,1485075.012
7400025,7028359.888,1314321.975
7400026,6692047.969,1497346.008
7400027,6613812.99,1616024.996
7400028,6145956,1374605.98
7400029,6253250.009,1408360.007
7400030,6720670.963,1491044.007
7400031,6568277.997,1622235.999
7400032,6959956.931,1480173.982
7400033,6289750.005,1480150.017
7400034,6397778.008,1420621.022
7400035,6476092.003,1369552.032
7400036,6448833.008,1354535.032
7400037,7027733.895,1336370.974
7400038,6425835.027,1249983.046
7400039,6513655,1306400.046
7400040,6442861.011,1335770.034
7400041,6435182.004,1450962.022
7400042,6683982.971,1509695.007
7400043,7007203.94,1573549.975
7400044,6217244.03,1306153.989
7400045,6270578.012,1397405.008
7400046,6627859.981,1522646.008
7400048,6645719.967,1303657.049
7400049,6563462.996,1605275.001
7400050,6515433,1568855.009
7400051,6756029.952,1435560.013
7400052,6341417.014,1393008.018
7400053,7193150.947,1744819
7400054,6503141.008,1251735.057
7400055,6561579.996,1605260.002
7400056,6533504.001,1237670.064
7400057,6280403.027,1324520.007
7400058,6267347.026,1327250.004
7400059,7593374.207,1618373.987
7400060,6452456.007,1367432.031
7400061,6259140.028,1318876.002
7400062,6668697.971,1477810.013
7400063,7024786.892,1326084.976
7400064,6239153.028,1317072.996
7400065,6497377.009,1253892.056
7400066,6427715.021,1278215.041
7400067,6570504.993,1577726.004
7400069,6231099,1467586.012
7400070,6586396.983,1368930.035
7400071,6528704.993,1415108.027
7400072,6614561.986,1572356.002
7400073,6227980.002,1441791.008
7400074,7220447.967,1630516.977
7400075,6542396.998,1238420.065
7400076,6551358.991,1321704.044
7400077,6549720.99,1460145.021
7400078,6364720.009,1431477.019
7400079,6214166.003,1423824.003
7400080,6286323.028,1319745.009
7400081,6424952.022,1277034.041
7400082,6403728.007,1549892.017
7400083,6468509.007,1330140.038
7400084,6393510.007,1450489.02
7400085,7186908.943,1759000.002
7400086,6366932.008,1456554.019
7400087,6489833.01,1259216.054
7400089,6370806.015,1367345.022
7400090,6407858.009,1402334.024
7400091,6316355.007,1491142.018
7400092,6371639.032,1272624.031
7400093,6608417.981,1467449.018
7400094,6410202.013,1357669.028
7400095,6544208.998,1233428.066
7400096,6278064.004,1483469.016
7400097,6744867.956,1457191.01
7400098,6462258.015,1271841.048
7400099,6609862.985,1542101.007
7400100,6381642.016,1353126.025
7400102,6220957.026,1319916.991
7400103,6291246.008,1445906.014
7400104,6235340.001,1467790.012
7400105,6934628.934,1492449.985
7400106,6303070.006,1475038.017
7400107,6472182.008,1317248.04
7400108,6583944.991,1569525.004
7400109,6414809.015,1333841.031
7400110,6337085.033,1284515.022
7400111,6667959.974,1522833.006
7400112,6361073.015,1375441.021
7400113,6448552.013,1307255.039
7400114,7588014.201,1622733.992
7400115,7035114.903,1363629.971
7400116,6330710.021,1346035.017
7400117,6319301.007,1468330.017
7400118,6469409.018,1243823.055
7400119,6476664.012,1272792.049
7400120,6178223.016,1335407.981
7400121,6225730.022,1333568.994
7400122,6320319.01,1425358.016
7400123,7007297.922,1441202.975
7400124,6333276.008,1461450.018
7400126,7028058.908,1383174.972
7400127,6611534.977,1368248.035
7400128,6803975.953,1531385.994
7400129,6568361.987,1422053.026
7400130,6920329.944,1578141.98
7400131,6322028.009,1444596.017
7400132,6407820.025,1279555.037
7400133,6573262.987,1466147.019
7400134,6259924.007,1431434.01
7400135,6648683.977,1511386.009
7400136,6271164.016,1372500.007
7400137,7558739.165,1667603.034
7400138,6152460.006,1354279.977
7400140,6392486.008,1433656.021
7400141,6216222.004,1417429.002
7400142,7025423.905,1371344.973
7400143,6421059.014,1334493.032
7400144,7290661.958,1793076.038
7400145,6296374.011,1417470.013
7400146,6844691.947,1519417.992
7400147,7024187.917,1418057.972
7400148,6489895.002,1346040.037
7400149,6563127.995,1592950.003
7400150,7315798.975,1769493.039
7400151,7587178.2,1624544.994
7400152,6279352.007,1445746.013
7400153,7023940.911,1392336.973
7400154,6798868.957,1565953.99
7400155,6226525.025,1322445.993
7400156,7296171.976,1738388.022
7400157,6272854.025,1332143.006
7400158,6752209.955,1462538.009
7400159,6393147.02,1323101.029
7400160,6707376.965,1479146.01
7400161,6379930.03,1276659.032
7400162,6662223.971,1455482.017
7400163,6949254.923,1426646.987
7400164,6368309.012,1397017.021
7400166,6541727.994,1523174.013
7400167,6598497.985,1511273.012
7400169,6159236.995,1408284.991
7400170,6583400.989,1539864.008
7400171,6398778.009,1411840.023
7400172,6490761.998,1455915.022
7400173,6476090.01,1293326.045
7400174,7543865.148,1678625.042
7400175,6590349.985,1487910.015
7400176,6579169.985,1426370.025
7400177,6486465.999,1418934.026
7400178,6485230.001,1386822.03
7400179,6221219.011,1382506.998
7400180,6466823.001,1460551.021
7400181,7095030.942,1693564.98
7400182,6338731.027,1313017.02
7400183,6510507.996,1402812.029
7400184,6638110.971,1351095.038
7400185,6203236.014,1358534.991
