name;lat;lon;id;gtfsid;gtfsname;gtfslat;gtfslon
Abbekås;55.394047154578;13.593503728675;64054;7401006;Abbekås;55.394010700378;13.593473809299
Abbekås Ö;55.405504762708;13.610074485509;64068;7413938;Abbekås Ö;55.405540116924;13.610040568004
Alberta byn;55.625039292555;13.319818005204;30069;7412505;Alberta byn;55.625058954402;13.319895833881
Alberta mosse;55.62387656998;13.330292387463;30068;7412504;Alberta mosse;55.623921542458;13.330289228812
Alestad byn;55.719833256652;13.736442407204;65125;7414134;Alestad byn;55.719851806038;13.736473052998
Hagestad byn;55.429934110295;14.131930918471;86052;7429961;Löderup skolan;55.429083109527;14.113183132931
Snårestad byn;55.440950048103;13.674656821896;86145;7416873;Snårestad byn;55.440913335591;13.674611045313
Alestad väg 13;55.71997069724;13.719086296023;65124;7434495;Alestad väg 13;55.720007204789;13.719115972716
Lövestad by;55.646810285779;13.890629469974;65067;7414073;Lövestad by;55.646801089251;13.890613825572
Alstad byaväg;55.454182438549;13.203731565013;87087;7430541;Alstad byaväg;55.454172889581;13.203700135553
Venestad Bygata;55.986183249383;13.934309345173;90284;7430887;Venestad Bygata;55.986146934433;13.934278983504
Önnestad väg 21;56.049947338303;14.015554454208;90123;7401401;Önnestad väg 21;56.049966300053;14.015617747144
Hagestad V;55.429997436045;14.120190223907;86050;7429961;Löderup skolan;55.429083109527;14.113183132931
Sövestad V;55.498517625363;13.793318854892;86103;7416911;Sövestad kyrka;55.500248204329;13.799133842868
Snårestad V;55.441202393033;13.662363420807;86144;7430127;Snårestad V;55.441239421675;13.662424282454
Frillestad Norra;56.02203023041;12.838639311604;83417;7420481;Frillestad norra;56.022048403634;12.838637741242
Frillestad östra;56.016605149011;12.853702304631;83414;7420479;Frillestad östra;56.016568352673;12.85365681035
Frillestads Kyrka;56.017894617318;12.840416624501;83416;7422811;Frillestad kyrka;56.01786755844;12.840402479642
Ystad Vårdcentralen;55.434767245152;13.819176604913;86327;7430476;Ystad Vårdcentralen;55.434812635871;13.819205611842
Felestad Tirupsvägen;55.904949983277;13.049025478354;14037;7412278;Felestad Tirupsvägen;55.904913215155;13.048979886622
Fjärestad Västregård;55.989381913147;12.828093510013;83150;7418354;Fjärestad Västregård;55.98927096275;12.82832628751
