gtfsid,url
7400001,http://www.jernhusen.se/Resenar/Stockholms-Centralstation
7400002,http://www.jernhusen.se/Resenar/Goteborgs-Centralstation
7400003,http://www.jernhusen.se/Resenar/Malmo-Centralstation
7400004,http://www.jernhusen.se/Resenar/Alvesta-Centralstation-
7400005,http://www.jernhusen.se/Resenar/Uppsala-Centralstation
7400005,http://www.ul.se/Resa/Kartor/Busstationer/Uppsala/
7400006,http://www.jernhusen.se/Resenar/Hassleholms-Resecentrum
7400007,http://www.jernhusen.se/Resenar/Norrkopings-Centralstation
7400007,http://www.ostgotatrafiken.se/Kundservice/Om-resecentrum-och-bytespunkter/Resecentrum-Norrkoping/
7400008,http://www.jernhusen.se/Resenar/Skovde-Resecentrum
7400009,http://www.jernhusen.se/Resenar/Linkopings-Centralstation
7400009,http://www.ostgotatrafiken.se/Kundservice/Om-resecentrum-och-bytespunkter/Resecentrum-Linkoping/
7400015,http://www.ostgotatrafiken.se/Kundservice/Om-resecentrum-och-bytespunkter/Boxholms-station/
7400018,http://www.jernhusen.se/Resenar/Alingsas-station
7400020,http://www.jernhusen.se/Resenar/Kalmars-Centralstation
7400031,http://www.jernhusen.se/Resenar/Flemingsbergs-Station
7400040,http://www.jernhusen.se/Resenar/Herrljunga-station
7400041,http://www.ostgotatrafiken.se/Kundservice/Om-resecentrum-och-bytespunkter/Tranas-station/
7400050,http://www.jernhusen.se/Resenar/Nykopings-Centralstation
7400055,http://www.jernhusen.se/Resenar/Sodertalje-Syd
7400058,http://www.hallandstrafiken.se/laholm_stn
7400060,http://www.jernhusen.se/Resenar/Falkopings-Centralstation
7400064,http://www.jernhusen.se/Resenar/Angelholms-Centralstation
7400070,http://www.jernhusen.se/Resenar/Karlstads-Centralstation
7400072,http://www.jernhusen.se/Resenar/Enkopings-Centralstation
7400072,http://www.ul.se/Resa/Kartor/Busstationer/Enkoping/
7400077,http://www.jernhusen.se/Resenar/Hallsbergs-Centralstation
7400080,http://www.jernhusen.se/Resenar/Halmstads-Centralstation
7400080,http://www.hallandstrafiken.se/regionbussterminalen
7400090,http://www.jernhusen.se/Resenar/Jonkopings-Resecentrum
7400099,http://www.jernhusen.se/Resenar/Vasteras-Centralstation
7400110,http://www.jernhusen.se/Resenar/Varbergs-station
7400110,http://www.hallandstrafiken.se/CM.php?PageID=88217
7400111,http://www.jernhusen.se/Resenar/Avesta-Krylbo-station
7400119,http://www.jernhusen.se/Resenar/Uddevalla-station
7400120,http://www.jernhusen.se/Resenar/Lunds-Centralstation
7400123,http://www.jernhusen.se/Resenar/Ostersunds-Centralstation
7400130,http://www.jernhusen.se/Resenar/Sundsvalls-Centralstation
7400133,http://www.jernhusen.se/Resenar/Orebro-Centralstation
7400140,http://www.jernhusen.se/Resenar/Nassjo-Centralstation
7400144,http://www.jernhusen.se/Resenar/Lulea-Centralstation
7400150,http://www.jernhusen.se/Resenar/Bodens-station
