gtfsid,id,type,Name
7400622,1,0,STOCKHOLM Cityterminalen
7690001,3,0,OSLO Gallerian
7472050,5,0,MALMÖ Centralstation
7407178,6,0,UPPSALA Stationsgatan hpl E3/E4
7400133,7,0,ÖREBRO Resecentrum
7410760,8,0,KARLSTAD Busstn
7400090,9,0,JÖNKÖPING ReseC
7400002,14,1,GÖTEBORG
7400262,22,0,Arboga resecentrum
7420510,23,1,KARLSKRONA
7410760,24,1,KARLSTAD
7414099,34,1,Blankaholm vsk E 22
7400160,36,1,Borlänge Resecentrum
7400300,37,0,Borås ReseCentrum
7410176,40,0,Broholm Sandhem
7400303,44,0,Djurås Jvstn
7400084,45,0,Eksjö Jvstn
7400072,47,0,Enköping jvstn
7400170,48,0,Eskilstuna Jvstn
7425475,50,0,Falun Dalarnas Museum
7400792,50,1,STOCKHOLM
7400352,52,1,SÖDERTÄLJE
7407178,54,1,UPPSALA
7414166,55,0,Fårbo vsk E 22
7400162,58,0,Grängesberg Jvstn
7400223,62,0,Gullspång Busstn
7400210,63,0,Gävle bstn Hamntorget
7410553,67,0,Hasslerör Motellet
7425164,68,0,Hedemora Hemköp
7400044,70,0,Helsingborg Knutpunkten
7400419,78,0,Hällefors station
7410657,79,0,Hällestad K:a
7443310,83,1,ARLANDA
7400020,84,0,Kalmar Jvstn
7400176,87,0,Karlskoga Busstn
7423232,90,0,Karlstad Universitet
8600858,91,0,Kastrup Terminal 2
7400222,97,0,Kristinehamn ReseC.
7410955,110,0,LINKÖPING Fjärrbussterm
7400555,112,0,Ljungby Busstn
7400120,115,0,Lund jvstn hpl O
7421788,118,0,Mariannelund Torget
7400216,119,0,Mariestad Busstn
7400258,120,0,Markaryd Jvstn
7414286,122,0,Misterhult vsk E 22
7400180,123,0,Mjölby Resec
7400302,126,0,Mora Jvstn
7400215,129,0,Mullsjö Busstn
7411131,133,1,NORRKÖPING Resecentrum
7411151,137,0,Nyköping Busstn
7400140,138,0,Nässjö Jvstn
7414315,140,0,Oskarshamn Resec
7416443,142,0,Otterbäcken Rv 26
7400158,145,0,Rättvik Resec
7400195,147,0,Sandviken ReseC.
7411369,149,0,Sjötorp Rv 26
7400008,154,0,Skövde Centralstn/Resec
7423252,155,0,Slättäng Rv 47/26
7423098,159,0,Strängnäs stn
7420238,162,0,Stöpen Rv 26
7423259,165,0,Säffle station
7400576,166,0,Söderköping Busstn
7400055,167,0,Södertälje Syd
7400600,170,0,Tidaholm Busstn
7401219,176,0,Trollhättan station
7414160,181,0,Uddevalla Torpterm E 6
7451677,182,0,Ulricehamnsmotet
7423239,182,0,Ulricehamn Brunnsnäs
7423259,184,0,Uppsala Flogsta
7414410,190,0,Verkebäcksbron
7400351,192,0,Vimmerby Resec
7423247,196,0,Värnamo ICA Kvantum
7400082,198,0,Västervik Resec
7400099,199,0,VÄSTERÅS ReseCentrum
7400076,202,0,Åmål Jvstn
7400364,204,0,Årjäng Busstn
7424484,210,0,Örebro Sörbyängsvägen
7421110,211,0,Örebro Våghustorget
7421159,215,0,Kävesta
7411208,216,0,Pålsboda
7410586,217,0,Hjortkvarn
7400026,220,0,Säter Bstn Centrumgrill
7425037,221,0,Töcksfors Sandviksvägen
7625036,222,0,Sarpsborg Quality Hotel
7416456,224,0,Lövåsen Rv 26
7423275,227,0,Halmstad EuroStop
7425491,242,0,Gränna Galgen
7425491,242,0,Gränna Galgen
7420510,244,0,Karlskrona Kungsplan
7400069,245,0,Ronneby Jvstn
7400073,246,0,Karlshamn ReseC
8600794,252,0,Roskilde Festival East Entrance
7400019,253,0,Leksand Jvstn
7407481,254,0,Uppsala Studentstaden
7418588,255,0,Valdemarsvik E22
7418262,256,0,Skultorp Trafikplats
7401350,259,0,Transtrand Stinas Kiosk
7400573,260,0,Sälen by OKQ8
7400648,261,0,Sälen Lindvallen Snöcentret
7410169,262,0,Sälen Sälsätern Blå band
7424272,263,0,Sälen Sälfjällstorget
7400656,264,0,Sälen Högfjällshotellet
7400658,265,0,Sälen Tandådalen Kyrkan
7400646,266,0,Sälen Hundfjället Hotellet
7401160,267,0,Sälen Stöten Centrumanl.
7420671,268,0,Trysil Turistcentret
7401350,269,0,Uppsala Ekonomikum
7400250,273,0,Växjö Jvstn
7420261,275,0,Mullsjö Bosebyleden
8090400,278,0,Hamburg
8034479,279,0,Berlin ZOB
7422989,286,0,Tanum Rasta
7424273,287,0,Sälen HögfjällsCenter
7424274,288,0,Sälen Tandådalen Fritidsbyn
8624917,290,0,KÖPENHAMN Ingerslevsgade DGI
8090997,298,0,Rostock Scandlines Terminal
7421191,302,0,Jönköping Elmia
7408428,309,0,Uppsala Business Park
7453588,313,0,Ullared Gekås
7446073,316,0,Karolinska Institutet
7443310,320,0,Stockholm Arlanda Airport
7400554,321,0,Landvetter Flygplats
7414402,322,0,Färjestaden Träffpunkten
7400558,323,0,Borgholm ReseCentrum
7400909,324,0,Böda
7420302,325,0,Byxelkrok Hamnen
7401219,328,0,Köpingsvik Kyrkan
7414160,329,0,Föra vsk
7451677,330,0,Löttorp Högby OKQ8
7401230,331,0,Bokmässan Liseberg stn
7414343,333,0,Umeå Ålidhem Tvistevägen
7420461,334,0,Umeå Busstn
7401570,335,0,Örnsköldsvik ReseC
7450840,337,0,Sollefteå Busstn Hpl A
7400220,338,0,Kramfors ReseC
