gtfsid,mapurl
7400001,http://sl.se/ficktid/karta%2Fvinter/City%5Fterm.pdf
7400002,http://www.vasttrafik.se/Global/Kartor/KartorDecember2012/Terminalkartor/terminalkarta-centralstationen.pdf
7400003,http://www.skanetrafiken.se/upload/Dokumentbank/Stationskartor2013/Malmö_centralen.pdf
7400006,http://www.skanetrafiken.se/upload/Dokumentbank/Stationskartor2013/Hässleholm_central.pdf
7400008,http://www.vasttrafik.se/Global/Kartor/Terminalkartor/Sk%c3%b6vdeResecentrum.pdf
7400011,http://www.skanetrafiken.se/upload/Dokumentbank/Stationskartor2013/Teckomatorp.pdf
7400014,http://www.vasttrafik.se/Global/Kartor/Terminalkartor/Stenungsund.pdf
7400016,http://www.vasttrafik.se/Global/Kartor/Kartorjuni2012/Terminalkartor/Skaraborg/Vara%20Resecentrum.pdf
7400020,http://www.klt.se/PageFiles/4604/Terminalkarta_Kalmar.pdf
7400022,http://www.skanetrafiken.se/upload/Dokumentbank/Stationskartor2013/Perstorp.pdf
7400027,http://sl.se/ficktid/karta%2Fvinter/Marsta%5Fterm.pdf
7400028,http://www.skanetrafiken.se/upload/Dokumentbank/Stationskartor2013/Ystad.pdf
7400031,http://sl.se/ficktid/karta%2Fvinter/Flemingsberg%5Fterm.pdf
7400040,http://www.vasttrafik.se/Global/Kartor/Kartorjuni2012/Terminalkartor/Sjuh%c3%a4rad/Herrljunga.pdf
7400044,http://www.skanetrafiken.se/upload/Dokumentbank/Stationskartor2013/Helsingborg_central.pdf
7400049,http://sl.se/ficktid/karta%2Fvinter/S%F6dert%E4lje%5Fhamn%5Fterm.pdf
7400055,http://sl.se/ficktid/karta%2Fvinter/S%F6dert%E4lje%5Fsyd%5Fterm.pdf
7400060,http://www.vasttrafik.se/Global/Kartor/KartorDecember2012/Terminalkartor/falkopings-resecentrum.pdf
7400061,http://www.skanetrafiken.se/upload/Dokumentbank/Stationskartor2013/Båstad.pdf
7400064,http://www.skanetrafiken.se/upload/Dokumentbank/Stationskartor2013/Ängelholm.pdf
7400066,http://www.vasttrafik.se/Global/Kartor/KartorDecember2012/Terminalkartor/nol-station.pdf
7400069,http://www.blekingetrafiken.se//Documents/Stationskartor/Ronneby station.pdf
7400073,http://www.blekingetrafiken.se//Documents/Stationskartor/Karlshamn station.pdf
7400075,http://www.vasttrafik.se/Global/Kartor/Kartorjuni2012/Terminalkartor/Fyrbodal/Skee%20Station.pdf
7400079,http://www.blekingetrafiken.se//Documents/Stationskartor/Sölvesborg station.pdf
