gtfsid;id
7400050;Nk
7400688;To
7400508;Tlt
7400964;Bz
7400107;Gop
7401542;Mia
7400616;Mt
7400232;Vgd
7400960;Åk
7401547;Häp
7464282;Hv
7400492;Arns
7401022;Bmb
7400368;Bhb
7400924;Ss
7400003;M
7400557;Ldo
7444433;Fgn
7400030;Fln
7400301;Tip
7400775;Test
7444148;No.osl
7400133;Ör
7400110;Vb
7400540;Lr
7400683;Vad
7400974;Snö
7421921;Mlö
7400386;Ved
7400229;Rgn
7469945;No.hld
7400032;Bä
7400180;My
7401559;Lse
7400075;Ske
7400056;Övb
7401601;Sue
7400934;Bib
7400968;Hul
7400699;Hnd
7401051;Fhm
7401587;Tri
7400830;Vdb
7400089;Het
7400569;Vgå
7442533;Lgb
7400704;Fs
7400055;Söu
7400291;La
7400084;Ek
7400140;N
7400116;Lrd
7401591;Les
7400415;Rdg
7400206;Kil
7400342;Rym
7400816;Nka
7400361;Öb
7400169;Si
7420045;Suv
7400520;Påa
7400146;Jr
8600858;Zklv
7400093;Ld
7400025;Xhel
7400214;Sl
7400173;Öx
7400076;Ål
7401555;Gan
7401556;Tgp
7400220;Krf
7400122;Mo
7400687;Bro
7400439;Fod
7400981;Bjo
7400181;Vns
7400235;Lo
7400021;Kid
7401013;Alv
7400143;Boa
7400302;Mra
7400059;Bln
7440582;Tj
7400278;Lsl
7400547;Ory
7400380;Std
7430605;Trg
7400300;Bs
7400378;Ft
7400083;Håp
7400184;Sun
7400208;Vj
7400556;Arnc
7400218;Hfr
7400522;Tjsk
7400283;Ed
7400834;Stb
7430043;Ssä
7400353;Frl
7414442;Örs
7400907;Akm
7401307;Smp
7400130;Suc
7400613;Sur
7400348;Hf
7400284;Kän
7401277;Rkö
7430017;Hfa
7425115;Wibe
7400295;O
7401209;Kns
7400109;Fra
7400323;Tli
7400638;Stl
7400023;Sfl
7400049;Söd
7400314;See
7442633;But
7400082;Vk
7400064;Ä
7400024;Sre
7400303;Då
7400082;Vbä
7420325;Ätk
7400263;Msl
7400170;Et
7401586;Hie
7401061;Fvk
8600669;Dk.hg
7400086;Vta
7400989;Hvr
7400194;Lå
7400155;Åp
7400266;Fgc
7400219;Hls
7400694;Gn
7400480;Uö
7400777;Ts
7400363;Vdi
7400172;Mot
7400418;Hbd
7401582;Höf
7400243;Boy
7401537;Båa
7470992;Tb
7400185;Hö
7400217;Gms
7400213;Oh
7400166;K
7400137;Rsn
7400937;Blv
7400686;Stv
7400179;Vöv
7400718;Nvk
7400129;Dg
7401563;Tså
7400320;Svg
7400205;Myk
7401086;Hrl
7400635;Lb
7442611;Åb
7400772;Sta
7400135;Äbg
7401061;Fvks
7424861;Röp
