name;lat;lon;id;gtfsid;gtfsname;gtfslat;gtfslon
Mosseporten Senter, Norge;59.445422;10.701055;9021014089003000;7690003;Mosseporten Senter;59.446026130518;10.705380321144
Oslo Bussterminal, Norge;59.911369;10.759665;9021014089004000;7690001;Oslo bstn Galleriet;59.911891746752;10.757076171616
Långegärde, Strömstad;58.891462;11.007767;9021014026420000;7420182;Syd-Koster Långegärde;58.891459634843;11.007769648599
Västra bryggan, Strömstad;58.893080;11.009997;9021014026421000;7401200;Nord-Koster Västra bryggan;58.893079984551;11.009994277693
Vettnet, Strömstad;58.903184;11.020739;9021014026422000;7442357;Vettnet;58.903181213992;11.020739176177
Ekenäs, Strömstad;58.893610;11.048821;9021014026410000;7420701;Syd-Koster Ekenäs;58.893609587224;11.048819833088
Kilesand, Strömstad;58.878472;11.052983;9021014026411000;7421792;Syd-Koster Kilesand;58.878477433531;11.052986027285
Ramsö, Strömstad;58.831531;11.067402;9021014026430000;7461937;Ramsö;58.831532833268;11.067406723284
Sarpsborg, Norge;59.280937;11.111763;9021014089002000;7600527;Sarpsborg;59.283847250357;11.118967397711
Styrsö, Strömstad;58.908110;11.115818;9021014026180000;7442235;Styrsö;58.908111309601;11.11582123607
Lindholmens vändplan, Strömstad;58.890212;11.128393;9021014026156000;7416279;Lindholmen vändplan;58.89021678277;11.128394452519
Öddö, Strömstad;58.923490;11.130767;9021014026190000;7442242;Öddö Blötebogen;58.923489204857;11.130771271221
Källviksdalen, Strömstad;58.962414;11.131962;9021014026439000;7442360;Källviksdalen;58.96241005938;11.13196743
Husevägen, Strömstad;58.960094;11.133535;9021014026505000;7442376;Husevägen;58.960093123352;11.133534870992
Caprivägen, Strömstad;58.958404;11.134281;9021014026284000;7442376;Husevägen;58.960093123352;11.133534870992
Kase, Strömstad;58.957649;11.141904;9021014026173000;7442231;Kase;58.957653433213;11.141906458493
Tjärnö Lovéncentret, Strömstad;58.874670;11.145500;9021014026148000;7442220;Tjärnö Lovéncentret;58.874669984072;11.145498880118
Seglarbyn, Strömstad;58.955869;11.148511;9021014026292000;7442298;Seglarbyn;58.955869031337;11.148517570777
Bogen, Strömstad;58.987997;11.151783;9021014026171000;7442230;Bogen;58.987994657711;11.151784503662
Båtsviksvägen, Strömstad;58.955078;11.154157;9021014026283000;7442290;Båtsviksvägen;58.955083303096;11.154157883136
Tjärnö kyrka, Strömstad;58.873879;11.154201;9021014026147000;7418032;Tjärnö kyrka;58.87387824627;11.15419980625
Tjärnö skola, Strömstad;58.874104;11.156943;9021014026433000;7418033;Tjärnö skola;58.874103206934;11.156947485465
Härslättsvägen, Strömstad;58.985786;11.157447;9021014026504000;7442375;Härslättsvägen;58.985788920379;11.15744757442
Seläters camping, Strömstad;58.956247;11.158543;9021014026174000;7416286;Seläter camping;58.956248160027;11.158543002398
Medvik södra, Strömstad;58.974288;11.159802;9021014026181000;7442236;Medvik södra;58.97429322016;11.159800036636
Dalarna, Strömstad;58.967493;11.160961;9021014026179000;7442234;Dalarna;58.967492871936;11.160960816893
Strömstad Spa, Strömstad;58.944121;11.161168;9021014026106000;7424327;Strömstad Spa;58.944123946527;11.161168622914
Medvik norra, Strömstad;58.977992;11.161411;9021014026182000;7442237;Medvik norra;58.977992360618;11.161408165319
