name;lat;lon;id;gtfsid;gtfsname;gtfslat;gtfslon
Abraham Bäckgatan (Söderhamn kn);61.297254679799;17.062494278871;82187;7406160;Söderhamn Abraham Bäckgatan;61.297298463173;17.062570473605
Abrams stuga (Nordanstig kn);62.049030180295;17.160854999903;32063;7418889;Östergrängsjö Abrams stuga;62.049066335738;17.160779820054
Acktjärnsgatan (Hofors kn);60.567608843848;16.278331855586;4001;7418696;Hofors Acktjärnsgatan;60.567635595265;16.278295808283
Agavägen (Sandviken kn);60.611792329436;16.763834430171;81001;7419663;Sandviken Agavägen;60.611801665643;16.763743356388
Agövägen (Hudiksvall kn);61.728038698424;17.139003932754;84273;7406871;Hudiksvall Agövägen;61.728082193959;17.139100141658
AIC (Ovanåker kn);61.348333932399;16.087644252527;21038;7418794;Alfta AIC;61.348315592926;16.087625332241
Akzo-Nobel (Sundsvall kn);62.333827903878;17.360407136438;90006;7408772;Stockvik Akzo Nobel;62.333089838431;17.363765339451
Alagården (Söderhamn kn);61.217727789897;17.146686824301;82257;7406210;Ljusne Alagården;61.217691533393;17.146685092044
Albertina (Söderhamn kn);61.377279810059;17.101283180101;82107;7406085;Skärså Albertina;61.377261116238;17.10131961226
Alderhulten (Sandviken kn);60.374864003379;16.761278896512;81002;7419702;Alderhulten;60.374863490767;16.761315122939
Ale (Söderhamn kn);61.369677450054;16.954460220683;82108;7406086;Ale;61.369695626218;16.954385894168
Alfta Centrum (Ovanåker kn);61.344906409216;16.064799509728;21039;7400589;Alfta centrum;61.344950846521;16.06479981078
Alfta Hemköp (Ovanåker kn);61.345445628518;16.054751433707;21045;7418800;Alfta Hemköp;61.345418343885;16.054713783581
Alfta Kyrka (Ovanåker kn);61.346659958178;16.072213509595;21062;7418528;Alfta kyrka;61.346641433367;16.072288028701
Allmänningen (Nordanstig kn);62.084925753171;16.797013165695;32139;7418954;Allmänningen;62.08490745438;16.79699314231
Alméns (Söderhamn kn);61.263997784067;17.152777154956;82259;7406228;Sandarne Alméns;61.264033477764;17.152759845561
Almvägen (Gävle kn);60.659253939529;17.124107892819;80083;7419174;Gävle Almvägen;60.659271238874;17.124145068643
Alsjövallen (Sandviken kn);60.637765313085;16.560619461542;81003;7419703;Åshammar Alsjövallen;60.637783267771;16.560565035898
Altorp (Söderhamn kn);61.359744927592;16.977316041786;82110;7406088;Altorp;61.359716971177;16.977389590258
Aludden (Gävle kn);60.707266293448;17.243735694877;80084;7419175;Norrlandet Aludden;60.70723050988;17.243697331568
Abraham Bäckgatan (Söderhamn kn);61.297254679799;17.062494278871;82187;7406160;Söderhamn Abraham Bäckgatan;61.297298463173;17.062570473605
Abrams stuga (Nordanstig kn);62.049030180295;17.160854999903;32063;7418889;Östergrängsjö Abrams stuga;62.049066335738;17.160779820054
Acktjärnsgatan (Hofors kn);60.567608843848;16.278331855586;4001;7418696;Hofors Acktjärnsgatan;60.567635595265;16.278295808283
Agavägen (Sandviken kn);60.611792329436;16.763834430171;81001;7419663;Sandviken Agavägen;60.611801665643;16.763743356388
Agövägen (Hudiksvall kn);61.728038698424;17.139003932754;84273;7406871;Hudiksvall Agövägen;61.728082193959;17.139100141658
AIC (Ovanåker kn);61.348333932399;16.087644252527;21038;7418794;Alfta AIC;61.348315592926;16.087625332241
Akzo-Nobel (Sundsvall kn);62.333827903878;17.360407136438;90006;7408772;Stockvik Akzo Nobel;62.333089838431;17.363765339451
Alagården (Söderhamn kn);61.217727789897;17.146686824301;82257;7406210;Ljusne Alagården;61.217691533393;17.146685092044
Albertina (Söderhamn kn);61.377279810059;17.101283180101;82107;7406085;Skärså Albertina;61.377261116238;17.10131961226
Alderhulten (Sandviken kn);60.374864003379;16.761278896512;81002;7419702;Alderhulten;60.374863490767;16.761315122939
Ale (Söderhamn kn);61.369677450054;16.954460220683;82108;7406086;Ale;61.369695626218;16.954385894168
Alfta Centrum (Ovanåker kn);61.344906409216;16.064799509728;21039;7400589;Alfta centrum;61.344950846521;16.06479981078
Alfta Hemköp (Ovanåker kn);61.345445628518;16.054751433707;21045;7418800;Alfta Hemköp;61.345418343885;16.054713783581
Alfta Kyrka (Ovanåker kn);61.346659958178;16.072213509595;21062;7418528;Alfta kyrka;61.346641433367;16.072288028701
Allmänningen (Nordanstig kn);62.084925753171;16.797013165695;32139;7418954;Allmänningen;62.08490745438;16.79699314231
Alméns (Söderhamn kn);61.263997784067;17.152777154956;82259;7406228;Sandarne Alméns;61.264033477764;17.152759845561
Almvägen (Gävle kn);60.659253939529;17.124107892819;80083;7419174;Gävle Almvägen;60.659271238874;17.124145068643
Alsjövallen (Sandviken kn);60.637765313085;16.560619461542;81003;7419703;Åshammar Alsjövallen;60.637783267771;16.560565035898
Altorp (Söderhamn kn);61.359744927592;16.977316041786;82110;7406088;Altorp;61.359716971177;16.977389590258
Aludden (Gävle kn);60.707266293448;17.243735694877;80084;7419175;Norrlandet Aludden;60.70723050988;17.243697331568
Anders-Nils (Ljusdal kn);61.665087439766;16.153401967325;61143;7419032;Löräng Anders-Nils;61.665113983342;16.153364370877
Andtjärnsvägen (Hudiksvall kn);61.702596367303;17.093861507139;84378;7407033;Hudiksvall Andtjärnsväge;61.702577099252;17.09395496417
Anneberg (Söderhamn kn);61.286398234808;16.964211920416;82001;7419972;Anneberg;61.286415792004;16.964212391329
Apoteket (Hudiksvall kn);61.729401482623;17.105480350187;84060;7406735;Hudiksvall Apoteket;61.72894172924;17.105649923797
Arbrå jvstn (Bollnäs kn);61.470907611514;16.379439757208;83043;7400615;Arbrå station;61.470321393681;16.380029181045
Arbrå kyrka (Bollnäs kn);61.490339916865;16.374221724611;83044;7406364;Arbrå kyrka;61.490735001035;16.374059839207
Arbrå skolan (Bollnäs kn);61.479778693543;16.376131129889;83045;7406365;Arbrå skolan;61.479686249502;16.37667351686
Arentvägen (Gävle kn);60.721995630561;17.170765641038;80087;7419178;Hille Arentvägen;60.721996082354;17.170692238608
Arklo (Söderhamn kn);61.359957577915;16.993159225762;82111;7406089;Arklo;61.359939727297;16.993102271684
Arla (Gävle kn);60.727886231026;17.277501278567;80088;7419179;Norrlandet Arla;60.727868800638;17.277427027809
Arnögården (Hudiksvall kn);61.701075559209;17.386697958457;84183;7406853;Arnögården;61.701039251562;17.386695811726
Arnöviken (Hudiksvall kn);61.69654222474;17.385993526578;84184;7410039;Arnöviken;61.696558648126;17.386088581934
Aseavägen (Bollnäs kn);61.343410025525;16.384731210217;83142;7406478;Bollnäs Aseavägen;61.343427872685;16.384656694686
Asfaltverket (Gävle kn);60.608208053851;17.120400919072;80648;7419696;Sälgsjön Asfaltverket;60.608234514333;17.120420154051
Askers (Söderhamn kn);61.211211905688;17.091069865147;82002;7419973;Askers;61.211228772292;17.091144801835
Askesta (Söderhamn kn);61.247828803557;16.996846865703;82003;7419989;Askesta (Onsäng);61.247810152472;16.996883244008
Asplunds (Bollnäs kn);61.574808725711;16.564959778518;83383;7445847;Asplunds;61.574790338174;16.564959157725
Asta (Söderhamn kn);61.272925432307;16.993471462853;82004;7419990;Asta;61.272879536351;16.993544128112
Atlasgatan (Gävle kn);60.670648160459;17.18088616606;80476;7419544;Gävle Atlasgatan;60.670638152218;17.180958802132
Axmarbruk (Gävle kn);61.048781506754;17.144211434849;80001;7410054;Axmar bruk;61.048799471528;17.144175000805
Axmarby (Gävle kn);61.001021078302;17.1160271822;80002;7410055;Axmarby;61.001055909136;17.116102400749
Backa Toftbyn (Falun kn);60.711864004897;15.774006791468;91014;7408810;Backa;60.711881601911;15.773970229305
Backabro Toftbyn (Falun kn);60.710623932485;15.768037261924;91015;7408817;Backabro;60.710623609886;15.768110611856
